#HEAD: Fail   Scale  Repeat         Mean(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
#$1     $2      $3      $4              $5              $6              $7              $8        $9           $10  $11
TEST:    0       1       5     0.000001033     0.000000399     0.000000808     0.000001831       500   483792936.6 test_cpp_vector_char_to_py_bytes_multiple_1[100]
TEST:    0       2       5     0.000004363     0.000001462     0.000003542     0.000007283       500   114607926.3 test_cpp_vector_char_to_py_bytes_multiple_2[100]
TEST:    0       4       5     0.000003891     0.000000123     0.000003681     0.000004018       500   128498368.1 test_cpp_vector_char_to_py_bytes_multiple_4[100]
TEST:    0       8       5     0.000003407     0.000000540     0.000002531     0.000003855       500   146769601.1 test_cpp_vector_char_to_py_bytes_multiple_8[100]
TEST:    0      16       5     0.000002708     0.000000287     0.000002550     0.000003281       500   184644927.8 test_cpp_vector_char_to_py_bytes_multiple_16[100]
TEST:    0      32       5     0.000002905     0.000000260     0.000002747     0.000003423       500   172134816.0 test_cpp_vector_char_to_py_bytes_multiple_32[100]
TEST:    0      64       5     0.000002708     0.000000272     0.000002522     0.000003236       500   184617656.8 test_cpp_vector_char_to_py_bytes_multiple_64[100]
TEST:    0     128       5     0.000002857     0.000000222     0.000002724     0.000003298       500   175002625.0 test_cpp_vector_char_to_py_bytes_multiple_128[100]
TEST:    0     256       5     0.000003256     0.000000194     0.000003100     0.000003638       500   153557937.4 test_cpp_vector_char_to_py_bytes_multiple_256[100]
TEST:    0     512       5     0.000017951     0.000000633     0.000017508     0.000019197       500    27854377.3 test_cpp_vector_char_to_py_bytes_multiple_512[100]
TEST:    0    1024       5     0.000011272     0.000002916     0.000009669     0.000017097       500    44358881.1 test_cpp_vector_char_to_py_bytes_multiple_1024[100]
TEST:    0    2048       5     0.000012340     0.000000628     0.000011836     0.000013572       500    40518310.2 test_cpp_vector_char_to_py_bytes_multiple_2048[100]
TEST:    0    4096       5     0.000013686     0.000000164     0.000013498     0.000013977       500    36533951.0 test_cpp_vector_char_to_py_bytes_multiple_4096[100]
TEST:    0    8192       5     0.000020980     0.000002461     0.000018861     0.000024515       500    23832334.8 test_cpp_vector_char_to_py_bytes_multiple_8192[100]
TEST:    0   16384       5     0.000044648     0.000004588     0.000041320     0.000053660       500    11198584.5 test_cpp_vector_char_to_py_bytes_multiple_16384[100]
TEST:    0   32768       5     0.000210836     0.000013511     0.000199766     0.000237313       500     2371517.1 test_cpp_vector_char_to_py_bytes_multiple_32768[100]
TEST:    0   65536       5     0.000382497     0.000023536     0.000356601     0.000420103       500     1307199.5 test_cpp_vector_char_to_py_bytes_multiple_65536[100]
TEST:    0  131072       5     0.000591470     0.000107169     0.000502128     0.000789090       500      845351.8 test_cpp_vector_char_to_py_bytes_multiple_131072[100]
TEST:    0  262144       5     0.001263050     0.000196598     0.001023754     0.001527041       500      395867.2 test_cpp_vector_char_to_py_bytes_multiple_262144[100]
TEST:    0  524288       5     0.003015166     0.000304297     0.002656946     0.003578764       500      165828.4 test_cpp_vector_char_to_py_bytes_multiple_524288[100]
TEST:    0 1048576       5     0.005846921     0.000453259     0.005350087     0.006383657       500       85515.1 test_cpp_vector_char_to_py_bytes_multiple_1048576[100]
