#HEAD: Fail   Scale  Repeat         Mean(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
#$1     $2      $3      $4              $5              $6              $7              $8        $9           $10  $11
TEST:    0       1       5     0.000007969     0.000000532     0.000007477     0.000008990       500    62743917.0 test_py_bytes_to_cpp_vector_char_multiple_1[100]
TEST:    0       2       5     0.000009852     0.000000110     0.000009644     0.000009957       500    50752662.0 test_py_bytes_to_cpp_vector_char_multiple_2[100]
TEST:    0       4       5     0.000010112     0.000000171     0.000009798     0.000010288       500    49443757.7 test_py_bytes_to_cpp_vector_char_multiple_4[100]
TEST:    0       8       5     0.000009634     0.000000180     0.000009292     0.000009767       500    51897906.4 test_py_bytes_to_cpp_vector_char_multiple_8[100]
TEST:    0      16       5     0.000009594     0.000000037     0.000009542     0.000009635       500    52118622.0 test_py_bytes_to_cpp_vector_char_multiple_16[100]
TEST:    0      32       5     0.000010580     0.000000079     0.000010466     0.000010694       500    47257639.2 test_py_bytes_to_cpp_vector_char_multiple_32[100]
TEST:    0      64       5     0.000010964     0.000000144     0.000010821     0.000011151       500    45603378.3 test_py_bytes_to_cpp_vector_char_multiple_64[100]
TEST:    0     128       5     0.000010772     0.000000204     0.000010464     0.000011079       500    46417928.5 test_py_bytes_to_cpp_vector_char_multiple_128[100]
TEST:    0     256       5     0.000011121     0.000000226     0.000010783     0.000011442       500    44961198.5 test_py_bytes_to_cpp_vector_char_multiple_256[100]
TEST:    0     512       5     0.000029721     0.000000300     0.000029426     0.000030274       500    16823065.1 test_py_bytes_to_cpp_vector_char_multiple_512[100]
TEST:    0    1024       5     0.000012722     0.000000295     0.000012444     0.000013290       500    39300452.0 test_py_bytes_to_cpp_vector_char_multiple_1024[100]
TEST:    0    2048       5     0.000033588     0.000039412     0.000011660     0.000112378       500    14886401.9 test_py_bytes_to_cpp_vector_char_multiple_2048[100]
TEST:    0    4096       5     0.000016999     0.000004309     0.000014768     0.000025615       500    29413667.9 test_py_bytes_to_cpp_vector_char_multiple_4096[100]
TEST:    0    8192       5     0.000025808     0.000002803     0.000022653     0.000030438       500    19374062.8 test_py_bytes_to_cpp_vector_char_multiple_8192[100]
TEST:    0   16384       5     0.000036507     0.000003173     0.000034178     0.000042729       500    13696116.1 test_py_bytes_to_cpp_vector_char_multiple_16384[100]
TEST:    0   32768       5     0.000101133     0.000012377     0.000087118     0.000118820       500     4943970.0 test_py_bytes_to_cpp_vector_char_multiple_32768[100]
TEST:    0   65536       5     0.000278407     0.000031347     0.000247739     0.000317535       500     1795932.5 test_py_bytes_to_cpp_vector_char_multiple_65536[100]
TEST:    0  131072       5     0.000591858     0.000070426     0.000498073     0.000677351       500      844797.7 test_py_bytes_to_cpp_vector_char_multiple_131072[100]
TEST:    0  262144       5     0.001234545     0.000099859     0.001104521     0.001396516       500      405007.5 test_py_bytes_to_cpp_vector_char_multiple_262144[100]
TEST:    0  524288       5     0.002624550     0.000226683     0.002273885     0.002881384       500      190508.8 test_py_bytes_to_cpp_vector_char_multiple_524288[100]
TEST:    0 1048576       5     0.006345896     0.001013419     0.004709868     0.007683215       500       78791.1 test_py_bytes_to_cpp_vector_char_multiple_1048576[100]
