#     Event        dEvent  Clock        What     File                   #line Function                                  RSS         dRSS
# $1  $2           $3      $4           $5       $6                        $7 $8                                         $9          $10
      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      0.292891     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  15 _test_new_list_double                20393984     20393984
PREV: 75           +75     0.293188     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                           20393984            0
NEXT: 76           +76     1.485361     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          382763008    362369024
PREV: 79           +3      1.485381     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 382763008            0
NEXT: 80           +4      3.092890     C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 895262720    512499712
NEXT: 81           +1      3.227376     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        542375936   -352886784
PREV: 85           +4      3.227407     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          542375936            0
NEXT: 86           +5      4.365715     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          811069440    268693504
NEXT: 87           +1      4.491122     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        379592704   -431476736
PREV: 89           +2      4.491141     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 379592704            0
NEXT: 90           +3      6.024670     C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 881885184    502292480
NEXT: 91           +1      6.145560     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        545665024   -336220160
PREV: 95           +4      6.145592     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          545665024            0
NEXT: 96           +5      7.285704     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          816414720    270749696
NEXT: 97           +1      7.399719     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        383000576   -433414144
PREV: 99           +2      7.399736     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 383000576            0
NEXT: 100          +3      8.931175     C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 880672768    497672192
NEXT: 101          +1      9.059756     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        544866304   -335806464
PREV: 105          +4      9.059789     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          544866304            0
NEXT: 106          +5      10.198256    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          816857088    271990784
NEXT: 107          +1      10.311897    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        381943808   -434913280
PREV: 109          +2      10.311912    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 381943808            0
NEXT: 110          +3      11.856763    C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 882126848    500183040
NEXT: 111          +1      11.976972    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        546566144   -335560704
PREV: 115          +4      11.977003    CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          546566144            0
NEXT: 116          +5      13.111646    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          813379584    266813440
NEXT: 117          +1      13.225085    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        383930368   -429449216
PREV: 119          +2      13.225104    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 383930368            0
NEXT: 120          +3      14.766971    C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 882851840    498921472
NEXT: 121          +1      14.918304    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        547569664   -335282176
PREV: 125          +4      14.918344    CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          547569664            0
NEXT: 126          +5      16.288824    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          812314624    264744960
NEXT: 127          +1      16.416676    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        384753664   -427560960
PREV: 129          +2      16.416694    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 384753664            0
NEXT: 130          +3      18.053769    C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 881991680    497238016
NEXT: 131          +1      18.189619    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        546820096   -335171584
PREV: 135          +4      18.189683    CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          546820096            0
NEXT: 136          +5      19.420371    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          811339776    264519680
NEXT: 137          +1      19.536014    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        384155648   -427184128
PREV: 139          +2      19.536094    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 384155648            0
NEXT: 140          +3      21.137590    C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 882659328    498503680
