#     Event        dEvent  Clock        What     File                   #line Function                                  RSS         dRSS
# $1  $2           $3      $4           $5       $6                        $7 $8                                         $9          $10
      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      0.253858     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  15 _test_new_list_bool                  20475904     20475904
PREV: 75           +75     0.254218     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                           20475904            0
NEXT: 76           +76     0.573604     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          104390656     83914752
PREV: 79           +3      0.573626     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_vector_bool                104390656            0
NEXT: 80           +4      0.704461     C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_vector_bool                189607936     85217280
PREV: 85           +5      0.728446     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          189607936            0
NEXT: 86           +6      1.012976     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          189648896        40960
PREV: 89           +3      1.037143     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_vector_bool                189648896            0
NEXT: 90           +4      1.166426     C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_vector_bool                239083520     49434624
PREV: 95           +5      1.189825     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          239083520            0
NEXT: 96           +6      1.506670     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          322985984     83902464
NEXT: 97           +1      1.538956     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        239099904    -83886080
PREV: 99           +2      1.538975     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_vector_bool                239099904            0
NEXT: 100          +3      1.650874     C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_vector_bool                243261440      4161536
PREV: 105          +5      1.673615     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          243261440            0
NEXT: 106          +6      1.980127     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          327344128     84082688
NEXT: 107          +1      2.009559     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        243458048    -83886080
PREV: 115          +8      2.143113     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          243458048            0
NEXT: 116          +9      2.444315     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          327344128     83886080
PREV: 125          +9      2.595695     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          327344128            0
NEXT: 126          +10     2.896193     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          411230208     83886080
PREV: 135          +9      3.050538     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          411230208            0
NEXT: 136          +10     3.356172     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          495116288     83886080
PREV: 145          +9      3.509346     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          495116288            0
NEXT: 146          +10     3.820481     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          579002368     83886080
PREV: 155          +9      3.987828     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          579002368            0
NEXT: 156          +10     4.305993     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          662888448     83886080
PREV: 165          +9      4.477219     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          662888448            0
NEXT: 166          +10     4.797620     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          746803200     83914752
PREV: 178          +12     4.957106     CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  29 <genexpr>                           746803200            0
NEXT: 179          +13     4.957149     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  29 <genexpr>                           746811392         8192
PREV: 253          +74     4.957415     RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  32 _test_new_list_bool                 746811392            0
NEXT: 254          +75     4.980985     C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  40 __exit__                            746729472       -81920
