# From: perf_notes/pymemtrace_logs/Python312/20241017_100553_20792.log
#     Event        dEvent  Clock        What     File                   #line Function                                  RSS         dRSS
# $1  $2           $3      $4           $5       $6                        $7 $8                                         $9          $10
      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      48.635505    CALL     tests/unit/test_with_pymemtrace.py 145 _test_new_list_double               531345408    531345408
PREV: 56           +56     48.635651    C_RETURN tests/unit/test_with_pymemtrace.py 149 print                               531345408            0
NEXT: 57           +57     50.018879    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        789028864    257683456
PREV: 59           +2      50.018896    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_vector_float               789028864            0
NEXT: 60           +3      50.428970    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_vector_float              1257279488    468250624
NEXT: 61           +1      50.602014    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        917602304   -339677184
PREV: 64           +3      50.602040    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              917602304            0
NEXT: 65           +4      52.288023    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        786862080   -130740224
PREV: 67           +2      52.288045    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_vector_float               786862080            0
NEXT: 68           +3      52.661455    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_vector_float              1284370432    497508352
NEXT: 69           +1      52.824599    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        949940224   -334430208
PREV: 72           +3      52.824628    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              949940224            0
NEXT: 73           +4      54.387090    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        786862080   -163078144
PREV: 75           +2      54.387106    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_vector_float               786862080            0
NEXT: 76           +3      54.749650    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_vector_float              1284358144    497496064
NEXT: 77           +1      54.904552    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        949927936   -334430208
PREV: 80           +3      54.904578    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              949927936            0
NEXT: 81           +4      56.427921    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        796319744   -153608192
