#test_new_bytes()
#RSS was 55,828,480 now 58,531,840 diff: +2,703,360
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
2                   5      0.000000464      0.000002335      0.000000484      0.000004107      0.000009681       20.864        232.0
4                   5      0.000000478      0.000000510      0.000000490      0.000000049      0.000000597        1.249        119.5
8                   5      0.000000475      0.000000493      0.000000484      0.000000027      0.000000540        1.137         59.4
16                  5      0.000000479      0.000000487      0.000000483      0.000000010      0.000000505        1.054         29.9
32                  5      0.000000474      0.000000590      0.000000483      0.000000247      0.000001032        2.177         14.8
64                  5      0.000000473      0.000001610      0.000000489      0.000002484      0.000006053       12.797          7.4
128                 5      0.000000402      0.000000538      0.000000539      0.000000112      0.000000710        1.766          3.1
256                 5      0.000000417      0.000001073      0.000000482      0.000001387      0.000003553        8.520          1.6
512                 5      0.000000847      0.000001071      0.000000993      0.000000309      0.000001610        1.901          1.7
1024                5      0.000000680      0.000000923      0.000000809      0.000000306      0.000001455        2.140          0.7
2048                5      0.000000664      0.000000881      0.000000748      0.000000235      0.000001164        1.753          0.3
4096                5      0.000000843      0.000002104      0.000001094      0.000002073      0.000005745        6.815          0.2
8192                5      0.000001165      0.000003095      0.000001249      0.000004134      0.000010489        9.003          0.1
16384               5      0.000001600      0.000003606      0.000001666      0.000004228      0.000011164        6.977          0.1
32768               5      0.000003463      0.000004845      0.000003807      0.000002412      0.000009127        2.636          0.1
65536               5      0.000006573      0.000008380      0.000006687      0.000003565      0.000014739        2.242          0.1
131072              5      0.000011698      0.000047719      0.000013560      0.000078298      0.000187771       16.052          0.1
262144              5      0.000023430      0.000135736      0.000033643      0.000202609      0.000493363       21.057          0.1
524288              5      0.000053600      0.000228333      0.000074063      0.000337068      0.000829477       15.475          0.1
1048576             5      0.000119848      0.000480542      0.000139738      0.000742635      0.001807964       15.085          0.1
