#RSS was 257,425,408 now 4,484,968,448 diff: 4,227,543,040
#test_new_dict_bytes_bytes() Byte length 1024
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000003235      0.000005339      0.000003369      0.000004100      0.000012647        3.909       1617.5
4                   5      0.000007265      0.000007962      0.000007500      0.000001011      0.000009663        1.330       1816.3
8                   5      0.000013091      0.000014091      0.000013497      0.000001323      0.000016269        1.243       1636.4
16                  5      0.000025625      0.000027320      0.000026421      0.000002123      0.000030862        1.204       1601.6
32                  5      0.000058415      0.000059512      0.000059555      0.000000727      0.000060443        1.035       1825.5
64                  5      0.000106015      0.000113670      0.000110123      0.000010206      0.000130923        1.235       1656.5
128                 5      0.000202804      0.000219335      0.000206548      0.000021026      0.000249281        1.229       1584.4
256                 5      0.000404121      0.000450836      0.000443694      0.000055266      0.000541298        1.339       1578.6
512                 5      0.000794826      0.000852417      0.000843937      0.000052500      0.000917714        1.155       1552.4
1024                5      0.001689195      0.001992127      0.002026568      0.000210864      0.002234453        1.323       1649.6
2048                5      0.005787636      0.006064589      0.006092745      0.000172320      0.006257755        1.081       2826.0
4096                5      0.011140989      0.011235298      0.011239880      0.000074093      0.011337853        1.018       2720.0
8192                5      0.023433794      0.026126282      0.025874737      0.001785209      0.027988978        1.194       2860.6
16384               5      0.057382604      0.060176757      0.060599827      0.001809937      0.062037896        1.081       3502.4
32768               5      0.149247579      0.151424167      0.150197521      0.003052390      0.156625084        1.049       4554.7
65536               5      0.316472810      0.331870675      0.335373417      0.009215245      0.339434946        1.073       4829.0
131072              5      0.640916666      0.671339925      0.673858051      0.020720952      0.698938782        1.091       4889.8
262144              5      1.401683623      1.437899473      1.412587641      0.056379100      1.536447302        1.096       5347.0
524288              5      3.019424749      3.079779076      3.031055439      0.117168834      3.288984633        1.089       5759.1
1048576             5      6.141978715      6.876990378      6.679360729      0.938720404      8.452774714        1.376       5857.4
