#RSS was 252,076,032 now 253,464,576 diff: 1,388,544
#test_new_dict_bytes_bytes() Byte length 16
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001203      0.000003979      0.000001349      0.000005833      0.000014407       11.976        601.5
4                   5      0.000002197      0.000002638      0.000002413      0.000000561      0.000003563        1.622        549.3
8                   5      0.000004237      0.000004672      0.000004364      0.000000669      0.000005825        1.375        529.6
16                  5      0.000008252      0.000008946      0.000008662      0.000000838      0.000010270        1.245        515.7
32                  5      0.000015958      0.000016832      0.000016303      0.000001171      0.000018735        1.174        498.7
64                  5      0.000031613      0.000032726      0.000032015      0.000001550      0.000035295        1.116        494.0
128                 5      0.000063593      0.000065422      0.000064492      0.000002149      0.000068500        1.077        496.8
256                 5      0.000122285      0.000129756      0.000123838      0.000013985      0.000154687        1.265        477.7
512                 5      0.000237243      0.000240430      0.000238774      0.000003846      0.000246730        1.040        463.4
1024                5      0.000478516      0.000494364      0.000480985      0.000028909      0.000545745        1.140        467.3
2048                5      0.000968686      0.000999081      0.001002846      0.000029511      0.001029284        1.063        473.0
4096                5      0.001964837      0.002192099      0.002092675      0.000224653      0.002502198        1.273        479.7
8192                5      0.003915830      0.004154550      0.004072464      0.000259276      0.004523067        1.155        478.0
16384               5      0.008346117      0.008505407      0.008453719      0.000142256      0.008724646        1.045        509.4
32768               5      0.018513104      0.020001429      0.020230025      0.001174817      0.021376872        1.155        565.0
65536               5      0.047019080      0.048216711      0.047738891      0.001190431      0.050091426        1.065        717.5
131072              5      0.112398046      0.118180584      0.119794638      0.003924957      0.122109544        1.086        857.5
262144              5      0.278290363      0.284674619      0.285699152      0.004337055      0.289655887        1.041       1061.6
524288              5      0.691252241      0.699210878      0.700979141      0.006093733      0.706401390        1.022       1318.5
1048576             5      1.627540591      1.636027362      1.632498360      0.009586562      1.651731396        1.015       1552.1
