#tests/unit/test_perf_cPyCppContainers.py::test_new_dict_bytes_bytes
#RSS was 252,612,608 now 252,076,032 diff: -536,576
#test_new_dict_bytes_bytes() Byte length 2
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000692      0.000003756      0.000000896      0.000006467      0.000015320       22.139        346.0
4                   5      0.000000677      0.000000728      0.000000684      0.000000094      0.000000895        1.322        169.3
8                   5      0.000000678      0.000000716      0.000000681      0.000000078      0.000000856        1.263         84.7
16                  5      0.000000690      0.000000721      0.000000716      0.000000038      0.000000783        1.135         43.1
32                  5      0.000000657      0.000000702      0.000000689      0.000000049      0.000000786        1.196         20.5
64                  5      0.000000664      0.000000701      0.000000684      0.000000054      0.000000795        1.197         10.4
128                 5      0.000000673      0.000000706      0.000000678      0.000000066      0.000000824        1.224          5.3
256                 5      0.000000666      0.000000730      0.000000682      0.000000091      0.000000881        1.323          2.6
512                 5      0.000001117      0.000001296      0.000001180      0.000000253      0.000001721        1.541          2.2
1024                5      0.000001042      0.000002549      0.000001129      0.000003120      0.000008124        7.797          1.0
2048                5      0.000001942      0.000002893      0.000001957      0.000002011      0.000006488        3.341          0.9
4096                5      0.000003653      0.000005264      0.000003818      0.000003207      0.000010992        3.009          0.9
8192                5      0.000008443      0.000010038      0.000008948      0.000002580      0.000014574        1.726          1.0
16384               5      0.000012980      0.000016225      0.000013503      0.000005975      0.000026849        2.068          0.8
32768               5      0.000025880      0.000029519      0.000026785      0.000006220      0.000040530        1.566          0.8
65536               5      0.000057732      0.000061664      0.000058889      0.000006451      0.000073031        1.265          0.9
131072              5      0.000101630      0.000107059      0.000103610      0.000008692      0.000122395        1.204          0.8
262144              5      0.000234813      0.000242285      0.000235950      0.000014431      0.000268036        1.141          0.9
524288              5      0.000422259      0.000498361      0.000433885      0.000127598      0.000721410        1.708          0.8
1048576             5      0.000907389      0.000941006      0.000908700      0.000050112      0.001021061        1.125          0.9
