#tests/unit/test_perf_cPyCppContainers.py::test_new_dict_complex_complex
#test_new_dict_complex_complex()
#RSS was 250,482,688 now 357,961,728 diff: 107,479,040
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000691      0.000028489      0.000000792      0.000061718      0.000138892      201.001        345.5
4                   5      0.000001207      0.000001468      0.000001255      0.000000457      0.000002274        1.884        301.8
8                   5      0.000002224      0.000002532      0.000002439      0.000000381      0.000003158        1.420        278.0
16                  5      0.000004351      0.000004878      0.000004430      0.000000842      0.000006343        1.458        271.9
32                  5      0.000008714      0.000009678      0.000008929      0.000001691      0.000012675        1.455        272.3
64                  5      0.000019733      0.000021990      0.000021714      0.000002376      0.000025942        1.315        308.3
128                 5      0.000033126      0.000035827      0.000034217      0.000003925      0.000042698        1.289        258.8
256                 5      0.000076736      0.000082138      0.000083125      0.000003288      0.000084972        1.107        299.7
512                 5      0.000132244      0.000143031      0.000137434      0.000013214      0.000162773        1.231        258.3
1024                5      0.000268642      0.000301657      0.000281864      0.000040584      0.000361595        1.346        262.3
2048                5      0.000561271      0.000587610      0.000574534      0.000029506      0.000622195        1.109        274.1
4096                5      0.001084359      0.001097967      0.001098677      0.000011556      0.001115297        1.029        264.7
8192                5      0.002070626      0.002255588      0.002123449      0.000264494      0.002692392        1.300        252.8
16384               5      0.004069091      0.004515190      0.004417003      0.000422024      0.005206688        1.280        248.4
32768               5      0.009762374      0.010036782      0.009898157      0.000312705      0.010488106        1.074        297.9
65536               5      0.021231379      0.021977216      0.021786513      0.000785275      0.023073630        1.087        324.0
131072              5      0.051275557      0.051674548      0.051474881      0.000533084      0.052575196        1.025        391.2
262144              5      0.119729134      0.123151057      0.122283544      0.003423497      0.128879214        1.076        456.7
524288              5      0.284118318      0.291060968      0.292078632      0.005421014      0.298716127        1.051        541.9
1048576             5      0.651440569      0.657369582      0.658246747      0.003404487      0.659797234        1.013        621.3
