#tests/unit/test_perf_cPyCppContainers.py::test_new_dict_float_float
#test_new_dict_float_float()
#RSS was 227,123,200 now 317,665,280 diff: 90,542,080
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000612      0.000002722      0.000000652      0.000004553      0.000010864       17.752        306.0
4                   5      0.000001178      0.000001544      0.000001336      0.000000599      0.000002606        2.212        294.5
8                   5      0.000002048      0.000002452      0.000002142      0.000000623      0.000003540        1.729        256.0
16                  5      0.000003742      0.000004272      0.000003834      0.000000926      0.000005912        1.580        233.9
32                  5      0.000006701      0.000007343      0.000006816      0.000001096      0.000009281        1.385        209.4
64                  5      0.000013757      0.000014592      0.000013967      0.000001395      0.000017038        1.238        215.0
128                 5      0.000027918      0.000029175      0.000028335      0.000001910      0.000032451        1.162        218.1
256                 5      0.000056143      0.000057934      0.000057174      0.000001845      0.000060118        1.071        219.3
512                 5      0.000112388      0.000114135      0.000113352      0.000001664      0.000116472        1.036        219.5
1024                5      0.000220261      0.000230161      0.000222493      0.000016153      0.000258673        1.174        215.1
2048                5      0.000487628      0.000717262      0.000510666      0.000423565      0.001468379        3.011        238.1
4096                5      0.000842220      0.000887933      0.000850815      0.000069599      0.001006063        1.195        205.6
8192                5      0.001720339      0.001890407      0.001806511      0.000208346      0.002227696        1.295        210.0
16384               5      0.003486174      0.003843944      0.003662623      0.000441803      0.004551832        1.306        212.8
32768               5      0.006849241      0.007315152      0.007210188      0.000500259      0.008080330        1.180        209.0
65536               5      0.014819780      0.015523209      0.015556693      0.000611397      0.016353607        1.103        226.1
131072              5      0.033815614      0.034819689      0.034201970      0.001696533      0.037833422        1.119        258.0
262144              5      0.081397933      0.083483557      0.083453682      0.001720452      0.086090923        1.058        310.5
524288              5      0.188253150      0.192679268      0.192280950      0.003166660      0.196974527        1.046        359.1
1048576             5      0.434768241      0.438401370      0.439006548      0.003207275      0.441523202        1.016        414.6
