#tests/unit/test_perf_cPyCppContainers.py::test_new_dict_int_int
#test_new_dict_int_int()
#RSS was 373,678,080 now 335,163,392 diff: -38,514,688
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000714      0.000481117      0.000000834      0.001073535      0.002401514     3363.465        357.0
4                   5      0.000001161      0.000001524      0.000001229      0.000000626      0.000002631        2.266        290.3
8                   5      0.000002093      0.000002528      0.000002218      0.000000761      0.000003881        1.854        261.6
16                  5      0.000003750      0.000004297      0.000003842      0.000000928      0.000005935        1.583        234.4
32                  5      0.000006683      0.000007443      0.000006756      0.000001484      0.000010091        1.510        208.8
64                  5      0.000013098      0.000014054      0.000013226      0.000001436      0.000016489        1.259        204.7
128                 5      0.000026309      0.000027132      0.000026313      0.000001219      0.000029030        1.103        205.5
256                 5      0.000052133      0.000053169      0.000052450      0.000001613      0.000055977        1.074        203.6
512                 5      0.000106756      0.000112716      0.000107753      0.000007631      0.000122314        1.146        208.5
1024                5      0.000218883      0.000353127      0.000239569      0.000259884      0.000817112        3.733        213.8
2048                5      0.000393412      0.000664339      0.000410243      0.000564720      0.001674180        4.256        192.1
4096                5      0.000746900      0.000781007      0.000773107      0.000040239      0.000847763        1.135        182.3
8192                5      0.001444087      0.001686805      0.001525034      0.000397521      0.002394484        1.658        176.3
16384               5      0.003003666      0.003342801      0.003261463      0.000403677      0.004000276        1.332        183.3
32768               5      0.005881185      0.006206817      0.006023963      0.000426080      0.006890205        1.172        179.5
65536               5      0.012278397      0.013189061      0.012894956      0.000994379      0.014610493        1.190        187.4
131072              5      0.023661063      0.026224475      0.026472034      0.001877764      0.028658175        1.211        180.5
262144              5      0.057488832      0.059005850      0.058982905      0.001284492      0.060708813        1.056        219.3
524288              5      0.121875673      0.125289626      0.125448017      0.002145259      0.127192627        1.044        232.5
1048576             5      0.264358160      0.268157850      0.267174435      0.003429169      0.273599015        1.035        252.1
