# RSS was 2,871,386,112 now 1,954,668,544 diff: -916,717,568
# test_new_dict_map_bytes_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000003666      0.000004858      0.000003833      0.000002433      0.000009208        2.512       1833.0
4                   5      0.000008167      0.000008358      0.000008250      0.000000297      0.000008875        1.087       2041.8
8                   5      0.000019625      0.000019875      0.000019625      0.000000354      0.000020375        1.038       2453.1
16                  5      0.000054167      0.000054783      0.000054625      0.000000798      0.000056167        1.037       3385.4
32                  5      0.000104209      0.000104933      0.000105083      0.000000668      0.000105750        1.015       3256.5
64                  5      0.000193917      0.000194983      0.000194625      0.000000917      0.000196083        1.011       3030.0
128                 5      0.000457708      0.000460950      0.000461625      0.000002338      0.000463959        1.014       3575.8
256                 5      0.000945500      0.000947142      0.000947125      0.000001450      0.000949416        1.004       3693.4
512                 5      0.002023542      0.002068067      0.002039875      0.000051169      0.002145083        1.060       3952.2
1024                5      0.003888250      0.003987692      0.003951750      0.000115612      0.004155125        1.069       3797.1
2048                5      0.008014625      0.008155783      0.008053292      0.000169747      0.008408750        1.049       3913.4
4096                5      0.016527500      0.016738725      0.016613167      0.000256451      0.017157500        1.038       4035.0
8192                5      0.032976375      0.033417525      0.033079167      0.000645997      0.034518750        1.047       4025.4
16384               5      0.075348334      0.076868175      0.076957458      0.001414842      0.078955792        1.048       4598.9
32768               5      0.157240541      0.159718683      0.158800083      0.003405747      0.165621166        1.053       4798.6
65536               5      0.342824000      0.352748667      0.346611834      0.011215739      0.365874209        1.067       5231.1
131072              5      0.708453000      0.723352884      0.720071334      0.013729209      0.745659125        1.053       5405.1
262144              5      1.270505584      1.295203142      1.283321958      0.036399169      1.359586750        1.070       4846.6
524288              5      2.669900208      2.912977275      2.702073584      0.335857552      3.423236250        1.282       5092.4
1048576             5      8.875314875      9.388556992      9.419242417      0.371431575      9.910027292        1.117       8464.2
