# RSS was 386,080,768 now 625,782,784 diff: 239,702,016
# test_new_dict_map_bytes_bytes() Byte length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001250      0.000002630      0.000001261      0.000002969      0.000007940        6.352        625.0
4                   5      0.000002669      0.000002952      0.000002872      0.000000316      0.000003411        1.278        667.2
8                   5      0.000005233      0.000007548      0.000005481      0.000004601      0.000015764        3.012        654.1
16                  5      0.000011827      0.000012654      0.000012405      0.000000976      0.000014258        1.206        739.2
32                  5      0.000023438      0.000024427      0.000023963      0.000001259      0.000026477        1.130        732.4
64                  5      0.000050609      0.000051837      0.000051286      0.000001371      0.000053951        1.066        790.8
128                 5      0.000104880      0.000106616      0.000105636      0.000002215      0.000110059        1.049        819.4
256                 5      0.000212592      0.000215440      0.000213653      0.000004213      0.000222725        1.048        830.4
512                 5      0.000429916      0.000434127      0.000431105      0.000005585      0.000443392        1.031        839.7
1024                5      0.000825813      0.000845166      0.000837353      0.000028988      0.000896041        1.085        806.5
2048                5      0.001756943      0.001984643      0.002073325      0.000186139      0.002162160        1.231        857.9
4096                5      0.004130447      0.004415428      0.004365025      0.000276191      0.004873733        1.180       1008.4
8192                5      0.008558116      0.008836416      0.008832054      0.000239453      0.009210087        1.076       1044.7
16384               5      0.018153897      0.018542564      0.018558134      0.000258531      0.018792828        1.035       1108.0
32768               5      0.039253802      0.040957548      0.040532121      0.001658195      0.043661181        1.112       1197.9
65536               5      0.082756212      0.084122590      0.084744062      0.001247371      0.085185838        1.029       1262.8
131072              5      0.198522882      0.253732243      0.252340127      0.042615031      0.317461500        1.599       1514.6
262144              5      0.401552090      0.452651602      0.452084042      0.055112701      0.540388286        1.346       1531.8
524288              5      0.805864244      0.917160738      0.926581654      0.077697006      1.002319117        1.244       1537.1
1048576             5      1.746648106      1.777338960      1.754795262      0.050137427      1.865807799        1.068       1665.7
