# RSS was 1,395,744,768 now 2,052,530,176 diff: +656,785,408
# test_new_dict_map_bytes_bytes() Byte length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001000      0.000003150      0.000001125      0.000004374      0.000010959       10.959        500.0
4                   5      0.000002000      0.000002142      0.000002042      0.000000248      0.000002584        1.292        500.0
8                   5      0.000003958      0.000004150      0.000004000      0.000000277      0.000004625        1.169        494.8
16                  5      0.000007750      0.000008133      0.000007875      0.000000555      0.000009083        1.172        484.4
32                  5      0.000015500      0.000016233      0.000015750      0.000001258      0.000018458        1.191        484.4
64                  5      0.000030250      0.000032492      0.000031125      0.000003143      0.000037917        1.253        472.7
128                 5      0.000060875      0.000064784      0.000062542      0.000005683      0.000074667        1.227        475.6
256                 5      0.000131042      0.000136233      0.000134000      0.000005678      0.000144916        1.106        511.9
512                 5      0.000266834      0.000273567      0.000269833      0.000007671      0.000285041        1.068        521.2
1024                5      0.000561583      0.000569250      0.000567333      0.000006689      0.000579667        1.032        548.4
2048                5      0.001142292      0.001158058      0.001154208      0.000015068      0.001181792        1.035        557.8
4096                5      0.002110708      0.002147592      0.002138708      0.000036363      0.002207583        1.046        515.3
8192                5      0.004073625      0.004184316      0.004159416      0.000108582      0.004314334        1.059        497.3
16384               5      0.008214917      0.008241325      0.008250334      0.000022165      0.008266333        1.006        501.4
32768               5      0.016781916      0.016843600      0.016830417      0.000070078      0.016962292        1.011        512.1
65536               5      0.035082417      0.038941925      0.039257958      0.002614306      0.042428708        1.209        535.3
131072              5      0.074818833      0.076754008      0.075031625      0.002571666      0.080184958        1.072        570.8
262144              5      0.152407625      0.164967200      0.163485542      0.011048927      0.181274208        1.189        581.4
524288              5      0.318248875      0.343037617      0.344423833      0.018614743      0.364896625        1.147        607.0
1048576             5      0.687045375      0.710113608      0.712205584      0.016277778      0.732497833        1.066        655.2
