# test_new_dict_map_complex_complex()
# RSS was 1,058,578,432 now 1,497,452,544 diff: +438,874,112
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000541      0.000046992      0.000000625      0.000103540      0.000232209      429.219        270.5
4                   5      0.000000875      0.000000958      0.000000917      0.000000121      0.000001166        1.333        218.7
8                   5      0.000001583      0.000001717      0.000001625      0.000000170      0.000002000        1.263        197.9
16                  5      0.000003250      0.000003617      0.000003292      0.000000751      0.000004959        1.526        203.1
32                  5      0.000006333      0.000006650      0.000006459      0.000000550      0.000007625        1.204        197.9
64                  5      0.000012667      0.000012883      0.000012750      0.000000315      0.000013416        1.059        197.9
128                 5      0.000025125      0.000025975      0.000025792      0.000001002      0.000027625        1.100        196.3
256                 5      0.000051000      0.000051950      0.000051166      0.000001612      0.000054791        1.074        199.2
512                 5      0.000108625      0.000110808      0.000110875      0.000002224      0.000114333        1.053        212.2
1024                5      0.000222708      0.000226883      0.000227709      0.000003332      0.000231458        1.039        217.5
2048                5      0.000455875      0.000462308      0.000460125      0.000007050      0.000474042        1.040        222.6
4096                5      0.000929458      0.000937075      0.000934417      0.000010099      0.000954334        1.027        226.9
8192                5      0.001962291      0.001971683      0.001970541      0.000007900      0.001984250        1.011        239.5
16384               5      0.004257125      0.004265625      0.004268417      0.000006066      0.004272000        1.003        259.8
32768               5      0.008418750      0.008479267      0.008458292      0.000072222      0.008603917        1.022        256.9
65536               5      0.018078291      0.018243192      0.018198542      0.000166745      0.018518042        1.024        275.9
131072              5      0.038818417      0.040230083      0.039801458      0.001887063      0.043470500        1.120        296.2
262144              5      0.086414334      0.087373125      0.086847375      0.001193690      0.089224541        1.033        329.6
524288              5      0.191690166      0.193816225      0.194874541      0.001871852      0.195549583        1.020        365.6
1048576             5      0.427249333      0.436405433      0.434281708      0.010029328      0.451482875        1.057        407.5
