# test_new_dict_map_float_float()
# RSS was 614,924,288 now 907,177,984 diff: +292,253,696
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000541      0.000001783      0.000000666      0.000002367      0.000006000       11.091        270.5
4                   5      0.000000875      0.000000975      0.000000875      0.000000201      0.000001333        1.523        218.7
8                   5      0.000001583      0.000001717      0.000001667      0.000000209      0.000002083        1.316        197.9
16                  5      0.000003083      0.000003683      0.000003208      0.000001066      0.000005583        1.811        192.7
32                  5      0.000005917      0.000006317      0.000006125      0.000000493      0.000007166        1.211        184.9
64                  5      0.000012083      0.000012458      0.000012208      0.000000506      0.000013292        1.100        188.8
128                 5      0.000026000      0.000026267      0.000026250      0.000000218      0.000026542        1.021        203.1
256                 5      0.000051916      0.000053900      0.000053958      0.000002024      0.000057042        1.099        202.8
512                 5      0.000111041      0.000113200      0.000112500      0.000002286      0.000115750        1.042        216.9
1024                5      0.000220833      0.000226016      0.000226583      0.000003941      0.000231500        1.048        215.7
2048                5      0.000461042      0.000462425      0.000461667      0.000001903      0.000465666        1.010        225.1
4096                5      0.000912500      0.000928308      0.000928875      0.000010895      0.000942250        1.033        222.8
8192                5      0.001748875      0.001847183      0.001834875      0.000104081      0.002001458        1.144        213.5
16384               5      0.003524792      0.003563834      0.003535667      0.000071943      0.003692084        1.047        215.1
32768               5      0.007170458      0.007345900      0.007277167      0.000222982      0.007728958        1.078        218.8
65536               5      0.015129000      0.015633825      0.015583166      0.000579836      0.016539792        1.093        230.9
131072              5      0.030760000      0.032175642      0.032137417      0.000987978      0.033538292        1.090        234.7
262144              5      0.062191875      0.064113600      0.064789792      0.001412591      0.065586625        1.055        237.2
524288              5      0.135178459      0.140915533      0.141355041      0.005444346      0.148968959        1.102        257.8
1048576             5      0.272059417      0.283047984      0.285433917      0.007189987      0.290999250        1.070        259.5
