# test_new_dict_map_int_int()
# RSS was 365,371,392 now 746,192,896 diff: +380,821,504
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000417      0.000001800      0.000000500      0.000002819      0.000006833       16.386        208.5
4                   5      0.000000583      0.000000633      0.000000584      0.000000090      0.000000792        1.358        145.8
8                   5      0.000001000      0.000001150      0.000001208      0.000000124      0.000001292        1.292        125.0
16                  5      0.000002000      0.000002217      0.000002125      0.000000305      0.000002750        1.375        125.0
32                  5      0.000003750      0.000026500      0.000003834      0.000050383      0.000116625       31.100        117.2
64                  5      0.000007042      0.000007300      0.000007292      0.000000247      0.000007625        1.083        110.0
128                 5      0.000013792      0.000014209      0.000014084      0.000000493      0.000015000        1.088        107.7
256                 5      0.000027291      0.000027550      0.000027667      0.000000240      0.000027791        1.018        106.6
512                 5      0.000063167      0.000064525      0.000063666      0.000002316      0.000068625        1.086        123.4
1024                5      0.000135834      0.000140500      0.000136750      0.000009004      0.000156583        1.153        132.7
2048                5      0.000280708      0.000288608      0.000283208      0.000013734      0.000313041        1.115        137.1
4096                5      0.000578208      0.000596075      0.000591791      0.000021789      0.000633541        1.096        141.2
8192                5      0.001175000      0.001198608      0.001175625      0.000051626      0.001290958        1.099        143.4
16384               5      0.002386250      0.002440608      0.002399500      0.000068892      0.002539708        1.064        145.6
32768               5      0.004845833      0.004947783      0.004887833      0.000163922      0.005238917        1.081        147.9
65536               5      0.009920959      0.010013933      0.010004208      0.000092274      0.010162583        1.024        151.4
131072              5      0.020809875      0.021307792      0.021143500      0.000667170      0.022469792        1.080        158.8
262144              5      0.046124584      0.047323492      0.047829334      0.000873538      0.048130125        1.043        176.0
524288              5      0.098347916      0.099029758      0.098481417      0.001276544      0.101307917        1.030        187.6
1048576             5      0.199633375      0.208402709      0.210667875      0.005172765      0.212826042        1.066        190.4
