# RSS was 2,483,142,656 now 785,596,416 diff: -1,697,546,240
# test_new_dict_map_int_str32() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001250      0.000003175      0.000001334      0.000004050      0.000010416        8.333        625.0
4                   5      0.000002250      0.000002942      0.000002416      0.000001341      0.000005334        2.371        562.5
8                   5      0.000004541      0.000005808      0.000004792      0.000002259      0.000009834        2.166        567.6
16                  5      0.000010125      0.000012483      0.000010459      0.000004672      0.000020833        2.058        632.8
32                  5      0.000019791      0.000027775      0.000020125      0.000017179      0.000058500        2.956        618.5
64                  5      0.000038959      0.000055700      0.000039250      0.000036761      0.000121459        3.118        608.7
128                 5      0.000078000      0.000110892      0.000078417      0.000072618      0.000240791        3.087        609.4
256                 5      0.000154084      0.000219709      0.000154584      0.000145252      0.000479541        3.112        601.9
512                 5      0.000321917      0.000472917      0.000326417      0.000320726      0.001046375        3.250        628.7
1024                5      0.000665875      0.000742667      0.000673667      0.000151519      0.001013209        1.522        650.3
2048                5      0.001418917      0.001432459      0.001427042      0.000013645      0.001453292        1.024        692.8
4096                5      0.003147958      0.003163266      0.003163291      0.000012873      0.003180083        1.010        768.5
8192                5      0.009352792      0.010065217      0.009407250      0.000961509      0.011441125        1.223       1141.7
16384               5      0.042194958      0.043639350      0.042739083      0.001853248      0.046441875        1.101       2575.4
32768               5      0.092508041      0.097383625      0.095343000      0.006093354      0.107996709        1.167       2823.1
65536               5      0.190900916      0.199759600      0.195178917      0.012976668      0.222731083        1.167       2912.9
131072              5      0.412438292      0.432333500      0.431882834      0.014079166      0.451994750        1.096       3146.7
262144              5      0.829019708      0.870728475      0.868544792      0.032525057      0.916766583        1.106       3162.5
524288              5      2.687810291      3.248504875      3.202810666      0.429493219      3.856616042        1.435       5126.6
1048576             5      9.441143375      9.650285092      9.587822000      0.224609003     10.033820375        1.063       9003.8
