# RSS was 1,525,284,864 now 2,473,484,288 diff: +948,199,424
# test_new_dict_map_int_str32() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002958      0.000005658      0.000003000      0.000005898      0.000016208        5.479       1479.0
4                   5      0.000005667      0.000006142      0.000005750      0.000000855      0.000007666        1.353       1416.7
8                   5      0.000011250      0.000011892      0.000011375      0.000001181      0.000014000        1.244       1406.3
16                  5      0.000022500      0.000024158      0.000022666      0.000003407      0.000030250        1.344       1406.3
32                  5      0.000044791      0.000047025      0.000045000      0.000004601      0.000055250        1.234       1399.7
64                  5      0.000089167      0.000092558      0.000089209      0.000007260      0.000105541        1.184       1393.2
128                 5      0.000178750      0.000185442      0.000178875      0.000014731      0.000211792        1.185       1396.5
256                 5      0.000356417      0.000369767      0.000356791      0.000029130      0.000421875        1.184       1392.3
512                 5      0.000721667      0.000748434      0.000722459      0.000058204      0.000852542        1.181       1409.5
1024                5      0.001454709      0.001590325      0.001551250      0.000179688      0.001893000        1.301       1420.6
2048                5      0.002925833      0.003034508      0.002935167      0.000205351      0.003399750        1.162       1428.6
4096                5      0.006337292      0.006632667      0.006363375      0.000412003      0.007240500        1.143       1547.2
8192                5      0.013363375      0.013500400      0.013372125      0.000236741      0.013914000        1.041       1631.3
16384               5      0.027907541      0.028144975      0.028026875      0.000383723      0.028824334        1.033       1703.3
32768               5      0.053522167      0.055427117      0.054252917      0.002331312      0.058711583        1.097       1633.4
65536               5      0.116641167      0.122588567      0.122457583      0.003925097      0.126238209        1.082       1779.8
131072              5      0.232673708      0.239703608      0.234675583      0.009511999      0.255768792        1.099       1775.2
262144              5      0.503344042      0.524203350      0.514204917      0.020924931      0.552750875        1.098       1920.1
524288              5      1.032620583      1.103172550      1.082258875      0.077909276      1.221887583        1.183       1969.6
1048576             5      2.088468750      2.183580875      2.116564292      0.152393834      2.453337250        1.175       1991.7
