# RSS was 374,784,000 now 1,486,876,672 diff: +1,112,092,672
# test_new_dict_map_int_str32() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000625      0.000004408      0.000000750      0.000007684      0.000018125       29.000        312.5
4                   5      0.000001042      0.000001633      0.000001084      0.000001230      0.000003833        3.678        260.5
8                   5      0.000001917      0.000002067      0.000002000      0.000000183      0.000002375        1.239        239.6
16                  5      0.000003833      0.000004516      0.000003958      0.000001213      0.000006666        1.739        239.6
32                  5      0.000007500      0.000008608      0.000007625      0.000002293      0.000012709        1.695        234.4
64                  5      0.000014958      0.000015392      0.000015041      0.000000811      0.000016834        1.125        233.7
128                 5      0.000029375      0.000030125      0.000029750      0.000001051      0.000031917        1.087        229.5
256                 5      0.000063708      0.000066275      0.000065042      0.000002514      0.000069625        1.093        248.9
512                 5      0.000132417      0.000135150      0.000135500      0.000002351      0.000137792        1.041        258.6
1024                5      0.000274875      0.000279725      0.000278166      0.000005089      0.000288333        1.049        268.4
2048                5      0.000555667      0.000561708      0.000561417      0.000004212      0.000566666        1.020        271.3
4096                5      0.001123583      0.001133883      0.001132500      0.000009257      0.001149000        1.023        274.3
8192                5      0.002164458      0.002247633      0.002168083      0.000111171      0.002384292        1.102        264.2
16384               5      0.004585375      0.004612191      0.004612791      0.000026867      0.004654750        1.015        279.9
32768               5      0.009879375      0.009979767      0.009950583      0.000094304      0.010125125        1.025        301.5
65536               5      0.022489875      0.024166225      0.024240584      0.001092919      0.025225541        1.122        343.2
131072              5      0.049117333      0.052515083      0.052552000      0.002211574      0.055115166        1.122        374.7
262144              5      0.119538750      0.119934542      0.120117291      0.000370371      0.120344125        1.007        456.0
524288              5      0.234547375      0.241402183      0.243511917      0.005015351      0.246791458        1.052        447.4
1048576             5      0.469418084      0.492716558      0.480936667      0.023824225      0.525635791        1.120        447.7
