# RSS was 1,554,702,336 now 3,776,049,152 diff: +2,221,346,816
# test_new_dict_map_int_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001208      0.000002583      0.000001416      0.000002844      0.000007666        6.346        604.0
4                   5      0.000002208      0.000002458      0.000002375      0.000000269      0.000002917        1.321        552.0
8                   5      0.000004333      0.000004658      0.000004500      0.000000426      0.000005375        1.240        541.6
16                  5      0.000009084      0.000009659      0.000009417      0.000000882      0.000011208        1.234        567.8
32                  5      0.000019250      0.000019558      0.000019500      0.000000253      0.000019875        1.032        601.6
64                  5      0.000036625      0.000037508      0.000037291      0.000000761      0.000038542        1.052        572.3
128                 5      0.000073917      0.000074642      0.000074584      0.000000520      0.000075375        1.020        577.5
256                 5      0.000147708      0.000149542      0.000149125      0.000001660      0.000151417        1.025        577.0
512                 5      0.000301292      0.000303450      0.000302792      0.000002659      0.000308041        1.022        588.5
1024                5      0.000606083      0.000609983      0.000607084      0.000006772      0.000621958        1.026        591.9
2048                5      0.001228375      0.001344000      0.001233708      0.000241290      0.001775417        1.445        599.8
4096                5      0.002509125      0.002539309      0.002522709      0.000031786      0.002585084        1.030        612.6
8192                5      0.005503333      0.005630091      0.005540041      0.000178757      0.005933791        1.078        671.8
16384               5      0.013550625      0.013834083      0.013912125      0.000159880      0.013922292        1.027        827.1
32768               5      0.040650958      0.041522441      0.040881500      0.001114975      0.043093791        1.060       1240.6
65536               5      0.101858125      0.103761642      0.103903333      0.001733695      0.106132334        1.042       1554.2
131072              5      0.193075792      0.212630542      0.214521208      0.012939931      0.226779250        1.175       1473.1
262144              5      0.427767583      0.439772950      0.435910458      0.012797586      0.461421209        1.079       1631.8
524288              5      0.850966792      0.874675984      0.862114125      0.035454311      0.936280917        1.100       1623.1
1048576             5      1.763908917      1.821751850      1.806289000      0.055340114      1.903112667        1.079       1682.2
