# RSS was 902,213,632 now 1,554,677,760 diff: +652,464,128
# test_new_dict_map_int_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000666      0.000003742      0.000000709      0.000006737      0.000015792       23.711        333.0
4                   5      0.000001167      0.000001283      0.000001208      0.000000136      0.000001500        1.285        291.8
8                   5      0.000002250      0.000002400      0.000002292      0.000000214      0.000002750        1.222        281.2
16                  5      0.000004583      0.000006875      0.000004666      0.000004893      0.000015625        3.409        286.4
32                  5      0.000008917      0.000009667      0.000009166      0.000001264      0.000011917        1.336        278.7
64                  5      0.000017792      0.000018292      0.000017917      0.000000890      0.000019875        1.117        278.0
128                 5      0.000039917      0.000041400      0.000040416      0.000001788      0.000044042        1.103        311.9
256                 5      0.000080792      0.000084267      0.000082625      0.000003342      0.000088708        1.098        315.6
512                 5      0.000171417      0.000174658      0.000175500      0.000002032      0.000176500        1.030        334.8
1024                5      0.000350166      0.000354816      0.000356583      0.000004048      0.000358875        1.025        342.0
2048                5      0.000684333      0.000706225      0.000711042      0.000012880      0.000716458        1.047        334.1
4096                5      0.001255417      0.001286108      0.001274375      0.000031549      0.001338458        1.066        306.5
8192                5      0.002617167      0.002631800      0.002625125      0.000016265      0.002655667        1.015        319.5
16384               5      0.005563667      0.005618367      0.005627584      0.000046904      0.005683542        1.022        339.6
32768               5      0.012625416      0.013053167      0.013161334      0.000240691      0.013194209        1.045        385.3
65536               5      0.028627250      0.029416983      0.029427958      0.000617629      0.030340959        1.060        436.8
131072              5      0.064907375      0.069847150      0.071628375      0.003721118      0.073678291        1.135        495.2
262144              5      0.134603208      0.140700767      0.140990333      0.003690935      0.143818209        1.068        513.5
524288              5      0.272044708      0.289753208      0.282912458      0.019145235      0.315895250        1.161        518.9
1048576             5      0.560859708      0.582454267      0.589458417      0.014573681      0.595656375        1.062        534.9
