# RSS was 269,611,008 now 902,205,440 diff: +632,594,432
# test_new_dict_map_int_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000500      0.000004467      0.000000625      0.000008545      0.000019750       39.500        250.0
4                   5      0.000000833      0.000000942      0.000000875      0.000000143      0.000001167        1.401        208.2
8                   5      0.000001583      0.000001700      0.000001625      0.000000160      0.000001959        1.238        197.9
16                  5      0.000003208      0.000003750      0.000003250      0.000001119      0.000005750        1.792        200.5
32                  5      0.000006041      0.000006483      0.000006250      0.000000647      0.000007625        1.262        188.8
64                  5      0.000011917      0.000012392      0.000011959      0.000000864      0.000013917        1.168        186.2
128                 5      0.000023584      0.000024600      0.000023833      0.000001796      0.000027791        1.178        184.2
256                 5      0.000046959      0.000049525      0.000047208      0.000005120      0.000058667        1.249        183.4
512                 5      0.000105292      0.000111284      0.000106875      0.000009219      0.000127459        1.211        205.6
1024                5      0.000220916      0.000234875      0.000223666      0.000025769      0.000280792        1.271        215.7
2048                5      0.000456209      0.000478583      0.000457583      0.000046002      0.000560791        1.229        222.8
4096                5      0.000863583      0.000931633      0.000892250      0.000102553      0.001109167        1.284        210.8
8192                5      0.001851042      0.001929959      0.001862292      0.000156402      0.002209542        1.194        226.0
16384               5      0.004073125      0.004219366      0.004082375      0.000310942      0.004775541        1.172        248.6
32768               5      0.009237500      0.010195358      0.010573000      0.000854825      0.010978708        1.188        281.9
65536               5      0.021599667      0.022916384      0.022826042      0.001026050      0.024482375        1.133        329.6
131072              5      0.049144125      0.051744600      0.049465292      0.005287896      0.061200625        1.245        374.9
262144              5      0.103733334      0.106982950      0.104274125      0.006021823      0.117723708        1.135        395.7
524288              5      0.221572583      0.245470950      0.233160292      0.024481442      0.277758792        1.254        422.6
1048576             5      0.445765333      0.481828317      0.491611416      0.023575282      0.503556167        1.130        425.1
