# RSS was 1,556,467,712 now 930,336,768 diff: -626,130,944
# test_new_dict_map_str_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002375      0.000003608      0.000002541      0.000002457      0.000008000        3.368       1187.5
4                   5      0.000004667      0.000004983      0.000004792      0.000000439      0.000005708        1.223       1166.7
8                   5      0.000010167      0.000010584      0.000010500      0.000000474      0.000011292        1.111       1270.9
16                  5      0.000021833      0.000023716      0.000022166      0.000003595      0.000030125        1.380       1364.6
32                  5      0.000044500      0.000047950      0.000045083      0.000006749      0.000060000        1.348       1390.6
64                  5      0.000117833      0.000121475      0.000119125      0.000004031      0.000127167        1.079       1841.1
128                 5      0.000180834      0.000184450      0.000182083      0.000004749      0.000192250        1.063       1412.8
256                 5      0.000373792      0.000383050      0.000375417      0.000014131      0.000407250        1.090       1460.1
512                 5      0.000772792      0.000875717      0.000799291      0.000196104      0.001225542        1.586       1509.4
1024                5      0.001643709      0.002071658      0.001867500      0.000496619      0.002723500        1.657       1605.2
2048                5      0.003375333      0.003580992      0.003396958      0.000400993      0.004297084        1.273       1648.1
4096                5      0.007197375      0.007235500      0.007220833      0.000048760      0.007320458        1.017       1757.2
8192                5      0.015437625      0.015537133      0.015533250      0.000066786      0.015622791        1.012       1884.5
16384               5      0.048762458      0.049657508      0.048993834      0.001120411      0.051083542        1.048       2976.2
32768               5      0.111912959      0.113089742      0.112342458      0.001453842      0.115410917        1.031       3415.3
65536               5      0.232491666      0.235702950      0.237161875      0.002708472      0.238010375        1.024       3547.5
131072              5      0.461790250      0.472482634      0.470812042      0.008743341      0.485823625        1.052       3523.2
262144              5      0.915239541      0.952824033      0.945394833      0.031479610      1.001380875        1.094       3491.4
524288              5      1.985390875      2.196026700      2.029295834      0.329520025      2.760314834        1.390       3786.8
1048576             5      8.749355958      8.985884916      9.004849000      0.153767321      9.126380750        1.043       8344.0
