# RSS was 1,005,805,568 now 1,556,467,712 diff: +550,662,144
# test_new_dict_map_str_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000917      0.000004458      0.000001000      0.000007711      0.000018250       19.902        458.5
4                   5      0.000001708      0.000001817      0.000001750      0.000000173      0.000002125        1.244        427.0
8                   5      0.000003583      0.000003792      0.000003625      0.000000332      0.000004375        1.221        447.9
16                  5      0.000007333      0.000007983      0.000007500      0.000001116      0.000009958        1.358        458.3
32                  5      0.000015584      0.000016500      0.000015875      0.000001445      0.000019041        1.222        487.0
64                  5      0.000036834      0.000038300      0.000038000      0.000001548      0.000040875        1.110        575.5
128                 5      0.000075417      0.000078308      0.000076583      0.000003437      0.000083166        1.103        589.2
256                 5      0.000159583      0.000163483      0.000163042      0.000003262      0.000167458        1.049        623.4
512                 5      0.000325084      0.000328442      0.000327542      0.000003011      0.000332416        1.023        634.9
1024                5      0.000614833      0.000651533      0.000638458      0.000040767      0.000700083        1.139        600.4
2048                5      0.001265583      0.001271883      0.001268875      0.000008754      0.001287333        1.017        618.0
4096                5      0.002610750      0.002626550      0.002620000      0.000016338      0.002649750        1.015        637.4
8192                5      0.005400083      0.005458266      0.005448000      0.000076043      0.005585958        1.034        659.2
16384               5      0.011626917      0.011833875      0.011866875      0.000121214      0.011946334        1.027        709.7
32768               5      0.025322208      0.025617333      0.025564292      0.000235396      0.025972000        1.026        772.8
65536               5      0.053312333      0.053502900      0.053350500      0.000242901      0.053800708        1.009        813.5
131072              5      0.114020125      0.121172875      0.123051833      0.004010948      0.123285667        1.081        869.9
262144              5      0.233565417      0.236950683      0.235951750      0.003030490      0.241354625        1.033        891.0
524288              5      0.494443000      0.496687175      0.496132209      0.001929439      0.499408875        1.010        943.1
1048576             5      1.038050750      1.041713308      1.040197708      0.003856525      1.047903834        1.009        990.0
