# RSS was 348,725,248 now 1,005,801,472 diff: +657,076,224
# test_new_dict_map_str_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000667      0.000002317      0.000000750      0.000003392      0.000008375       12.556        333.5
4                   5      0.000001125      0.000001208      0.000001125      0.000000164      0.000001500        1.333        281.3
8                   5      0.000002333      0.000002525      0.000002416      0.000000273      0.000003000        1.286        291.6
16                  5      0.000004875      0.000005225      0.000005000      0.000000511      0.000006125        1.256        304.7
32                  5      0.000010291      0.000011058      0.000010500      0.000001286      0.000013333        1.296        321.6
64                  5      0.000021208      0.000022083      0.000021666      0.000001107      0.000023916        1.128        331.4
128                 5      0.000045333      0.000048683      0.000045916      0.000006356      0.000060000        1.324        354.2
256                 5      0.000097167      0.000101700      0.000097750      0.000008664      0.000117125        1.205        379.6
512                 5      0.000202833      0.000210383      0.000204000      0.000013463      0.000234208        1.155        396.2
1024                5      0.000421125      0.000433833      0.000422041      0.000025119      0.000478625        1.137        411.3
2048                5      0.000855333      0.000875375      0.000856583      0.000039553      0.000945917        1.106        417.6
4096                5      0.001693209      0.001732700      0.001697250      0.000080743      0.001877000        1.109        413.4
8192                5      0.003470500      0.003548700      0.003477917      0.000156915      0.003829125        1.103        423.6
16384               5      0.007020000      0.007180592      0.007036542      0.000336134      0.007781750        1.109        428.5
32768               5      0.014456708      0.014855842      0.014538417      0.000623886      0.015944917        1.103        441.2
65536               5      0.031701667      0.032083325      0.031737791      0.000599247      0.033106625        1.044        483.7
131072              5      0.065624959      0.067408592      0.065726959      0.002836512      0.072214125        1.100        500.7
262144              5      0.140947458      0.147160309      0.146804042      0.004347480      0.151543334        1.075        537.7
524288              5      0.306813166      0.311416467      0.311169958      0.004042821      0.316680000        1.032        585.2
1048576             5      0.682157250      0.699407150      0.696855125      0.015412678      0.723122167        1.060        650.6
