#RSS was 247,398,400 now 4,458,872,832 diff: 4,211,474,432
#test_new_dict_str_str() String length 1024
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002993      0.000004415      0.000003148      0.000002844      0.000009493        3.172       1496.5
4                   5      0.000005924      0.000006547      0.000006214      0.000000837      0.000007966        1.345       1481.0
8                   5      0.000011829      0.000012785      0.000012273      0.000001248      0.000014839        1.254       1478.6
16                  5      0.000024142      0.000025877      0.000024659      0.000002462      0.000030030        1.244       1508.9
32                  5      0.000053308      0.000058206      0.000056694      0.000006406      0.000069353        1.301       1665.9
64                  5      0.000095084      0.000097721      0.000096521      0.000002988      0.000101519        1.068       1485.7
128                 5      0.000192014      0.000205114      0.000207320      0.000012111      0.000217767        1.134       1500.1
256                 5      0.000450917      0.000500272      0.000475600      0.000050868      0.000579768        1.286       1761.4
512                 5      0.000845813      0.001153082      0.001069711      0.000291998      0.001515530        1.792       1652.0
1024                5      0.001881273      0.002443684      0.002344512      0.000522284      0.003095672        1.646       1837.2
2048                5      0.005519047      0.005761686      0.005637610      0.000230467      0.006017368        1.090       2694.8
4096                5      0.010770326      0.015046355      0.015390891      0.002529907      0.017166031        1.594       2629.5
8192                5      0.025994682      0.028297469      0.027685459      0.002395425      0.031876824        1.226       3173.2
16384               5      0.070990064      0.074082738      0.074737316      0.003011050      0.078053915        1.100       4332.9
32768               5      0.166969026      0.178111111      0.180066098      0.009213037      0.190646943        1.142       5095.5
65536               5      0.359757562      0.370893489      0.369282796      0.009244540      0.384859882        1.070       5489.5
131072              5      0.732258885      0.747234735      0.739600949      0.017769845      0.777199092        1.061       5586.7
262144              5      1.590870857      1.623162432      1.595904403      0.047472113      1.702895790        1.070       6068.7
524288              5      3.448689373      3.497757529      3.460969333      0.092415638      3.662603394        1.062       6577.9
1048576             5      7.334489442      8.258348311      7.720376762      1.114431044      9.862152525        1.345       6994.7
