#RSS was 342,982,656 now 247,398,400 diff: -95,584,256
#test_new_dict_str_str() String length 128
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000741      0.000001914      0.000000838      0.000002351      0.000006111        8.247        370.5
4                   5      0.000001243      0.000001443      0.000001281      0.000000311      0.000001985        1.597        310.7
8                   5      0.000001238      0.000001271      0.000001243      0.000000061      0.000001380        1.115        154.7
16                  5      0.000003074      0.000003523      0.000003292      0.000000537      0.000004348        1.414        192.1
32                  5      0.000002976      0.000003152      0.000003078      0.000000206      0.000003480        1.169         93.0
64                  5      0.000005317      0.000005748      0.000005473      0.000000565      0.000006665        1.254         83.1
128                 5      0.000011327      0.000024635      0.000012262      0.000017726      0.000045124        3.984         88.5
256                 5      0.000019199      0.000020760      0.000019852      0.000002249      0.000024645        1.284         75.0
512                 5      0.000037807      0.000039145      0.000038432      0.000001693      0.000041827        1.106         73.8
1024                5      0.000070375      0.000075168      0.000072535      0.000005940      0.000084326        1.198         68.7
2048                5      0.000157368      0.000184849      0.000158203      0.000049660      0.000272175        1.730         76.8
4096                5      0.000280200      0.000316361      0.000311015      0.000032550      0.000365490        1.304         68.4
8192                5      0.000581873      0.000608213      0.000584529      0.000033955      0.000650171        1.117         71.0
16384               5      0.001093066      0.001195563      0.001214509      0.000072951      0.001285948        1.176         66.7
32768               5      0.002987278      0.003321725      0.003126301      0.000365447      0.003875880        1.297         91.2
65536               5      0.006325448      0.006778670      0.006689760      0.000429639      0.007428057        1.174         96.5
131072              5      0.015103949      0.016214955      0.015311185      0.001354457      0.017876236        1.184        115.2
262144              5      0.038942957      0.040278124      0.039019157      0.002669002      0.045043521        1.157        148.6
524288              5      0.087494619      0.092357121      0.090141666      0.005220309      0.100504671        1.149        166.9
1048576             5      0.218279779      0.220893103      0.220596566      0.003259096      0.226342774        1.037        208.2
