#tests/unit/test_perf_cPyCppContainers.py::test_new_dict_str_str
#RSS was 380,878,848 now 347,332,608 diff: -33,546,240
#test_new_dict_str_str() String length 2
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000579      0.000506251      0.000000657      0.001129603      0.002526945     4364.326        289.5
4                   5      0.000000533      0.000000625      0.000000569      0.000000159      0.000000908        1.704        133.2
8                   5      0.000000540      0.000000629      0.000000551      0.000000186      0.000000961        1.780         67.5
16                  5      0.000000535      0.000000623      0.000000538      0.000000188      0.000000960        1.794         33.4
32                  5      0.000000538      0.000000651      0.000000539      0.000000251      0.000001101        2.046         16.8
64                  5      0.000000536      0.000000574      0.000000548      0.000000063      0.000000686        1.280          8.4
128                 5      0.000000549      0.000000650      0.000000553      0.000000218      0.000001040        1.894          4.3
256                 5      0.000000517      0.000000576      0.000000522      0.000000098      0.000000745        1.441          2.0
512                 5      0.000001209      0.000001601      0.000001303      0.000000695      0.000002836        2.346          2.4
1024                5      0.000001191      0.000001290      0.000001212      0.000000182      0.000001614        1.355          1.2
2048                5      0.000000748      0.000000896      0.000000881      0.000000175      0.000001182        1.580          0.4
4096                5      0.000003337      0.000004355      0.000003557      0.000001764      0.000007468        2.238          0.8
8192                5      0.000007192      0.000009604      0.000007682      0.000004375      0.000017392        2.418          0.9
16384               5      0.000008948      0.000119984      0.000009967      0.000244893      0.000558047       62.366          0.5
32768               5      0.000019695      0.000022887      0.000020754      0.000005074      0.000031771        1.613          0.6
65536               5      0.000036260      0.000039381      0.000037263      0.000004856      0.000047815        1.319          0.6
131072              5      0.000069177      0.000089607      0.000083963      0.000021989      0.000125412        1.813          0.5
262144              5      0.000144476      0.000151667      0.000146003      0.000012940      0.000174678        1.209          0.6
524288              5      0.000269738      0.000278275      0.000270343      0.000014675      0.000303829        1.126          0.5
1048576             5      0.000494396      0.000539897      0.000529323      0.000055588      0.000629728        1.274          0.5
