# RSS was 2,211,356,672 now 1,374,298,112 diff: -837,058,560
# test_new_dict_unordered_map_bytes_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002917      0.000004292      0.000002959      0.000002891      0.000009459        3.243       1458.5
4                   5      0.000004916      0.000005325      0.000005083      0.000000664      0.000006500        1.322       1229.0
8                   5      0.000010250      0.000011225      0.000010459      0.000001748      0.000014334        1.398       1281.3
16                  5      0.000021000      0.000023250      0.000021250      0.000004388      0.000031083        1.480       1312.5
32                  5      0.000050375      0.000052600      0.000051625      0.000002431      0.000056209        1.116       1574.2
64                  5      0.000081292      0.000083442      0.000081458      0.000003651      0.000089791        1.105       1270.2
128                 5      0.000164334      0.000171750      0.000167083      0.000008889      0.000185041        1.126       1283.9
256                 5      0.000321333      0.000340275      0.000328917      0.000026287      0.000384416        1.196       1255.2
512                 5      0.000686791      0.000729042      0.000689000      0.000072908      0.000856292        1.247       1341.4
1024                5      0.001366292      0.001553042      0.001393125      0.000243731      0.001831708        1.341       1334.3
2048                5      0.003118417      0.003446842      0.003155584      0.000452277      0.004109791        1.318       1522.7
4096                5      0.007495625      0.007902008      0.007562708      0.000506094      0.008500875        1.134       1830.0
8192                5      0.014986250      0.016547667      0.016730667      0.001665810      0.019023750        1.269       1829.4
16384               5      0.046774500      0.048519875      0.047392041      0.001950699      0.050820792        1.087       2854.9
32768               5      0.097919292      0.109222433      0.107704250      0.010853842      0.126867333        1.296       2988.3
65536               5      0.201093000      0.215256075      0.217300750      0.009340178      0.224937042        1.119       3068.4
131072              5      0.438039500      0.450670608      0.453583500      0.011085896      0.461231333        1.053       3342.0
262144              5      0.904942334      0.930021659      0.913064667      0.036785520      0.993520042        1.098       3452.1
524288              5      1.962171417      2.212521000      2.039432459      0.285734755      2.593148167        1.322       3742.5
1048576             5      6.197221541      7.133505842      7.356562500      0.616717113      7.772735500        1.254       5910.1
