# RSS was 1,604,935,680 now 2,339,655,680 diff: +734,720,000
# test_new_dict_unordered_map_bytes_bytes() Byte length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001000      0.000002817      0.000001000      0.000003901      0.000009792        9.792        500.0
4                   5      0.000002041      0.000002358      0.000002125      0.000000570      0.000003375        1.654        510.2
8                   5      0.000003500      0.000003808      0.000003583      0.000000509      0.000004708        1.345        437.5
16                  5      0.000007125      0.000007758      0.000007125      0.000001325      0.000010125        1.421        445.3
32                  5      0.000013583      0.000015383      0.000013792      0.000003563      0.000021750        1.601        424.5
64                  5      0.000025834      0.000027292      0.000025958      0.000001946      0.000029958        1.160        403.7
128                 5      0.000056500      0.000059750      0.000058375      0.000004667      0.000067958        1.203        441.4
256                 5      0.000115417      0.000118917      0.000119000      0.000003799      0.000124917        1.082        450.8
512                 5      0.000237375      0.000242975      0.000243625      0.000003398      0.000245958        1.036        463.6
1024                5      0.000482000      0.000494158      0.000494875      0.000008813      0.000505375        1.048        470.7
2048                5      0.000813625      0.000856533      0.000819458      0.000084377      0.001007250        1.238        397.3
4096                5      0.001645916      0.001687541      0.001655625      0.000080163      0.001830750        1.112        401.8
8192                5      0.003314583      0.003421975      0.003369958      0.000170202      0.003722833        1.123        404.6
16384               5      0.006901292      0.007479867      0.007123333      0.000730730      0.008562708        1.241        421.2
32768               5      0.017992458      0.018439067      0.018447125      0.000291308      0.018736625        1.041        549.1
65536               5      0.045216958      0.048317867      0.048494042      0.001900652      0.049922208        1.104        690.0
131072              5      0.099228458      0.106969100      0.109324542      0.006777263      0.114075041        1.150        757.1
262144              5      0.223122042      0.228804967      0.223963750      0.011144064      0.248698375        1.115        851.1
524288              5      0.507949125      0.518191133      0.514827083      0.013918334      0.542398625        1.068        968.8
1048576             5      1.106002458      1.124244492      1.119861292      0.018310794      1.153472958        1.043       1054.8
