# test_new_dict_unordered_map_complex_complex()
# RSS was 815,280,128 now 1,126,100,992 diff: +310,820,864
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000583      0.000167466      0.000000708      0.000372697      0.000834166     1430.868        291.5
4                   5      0.000001000      0.000001209      0.000001042      0.000000374      0.000001875        1.875        250.0
8                   5      0.000001958      0.000002217      0.000002042      0.000000404      0.000002917        1.490        244.7
16                  5      0.000003708      0.000004092      0.000003750      0.000000744      0.000005417        1.461        231.8
32                  5      0.000006917      0.000007258      0.000007000      0.000000562      0.000008250        1.193        216.2
64                  5      0.000013167      0.000013483      0.000013250      0.000000477      0.000014291        1.085        205.7
128                 5      0.000025833      0.000026742      0.000026167      0.000001255      0.000028792        1.115        201.8
256                 5      0.000050125      0.000051708      0.000050625      0.000002555      0.000056208        1.121        195.8
512                 5      0.000100584      0.000102525      0.000101042      0.000003426      0.000108625        1.080        196.5
1024                5      0.000205042      0.000209442      0.000206875      0.000005787      0.000219209        1.069        200.2
2048                5      0.000419166      0.000421892      0.000420667      0.000004224      0.000429334        1.024        204.7
4096                5      0.000835583      0.000845250      0.000840583      0.000011346      0.000864166        1.034        204.0
8192                5      0.001657875      0.001674892      0.001666375      0.000019543      0.001707750        1.030        202.4
16384               5      0.003354458      0.003360100      0.003359167      0.000007012      0.003371666        1.005        204.7
32768               5      0.006814417      0.006828234      0.006826000      0.000014348      0.006843375        1.004        208.0
65536               5      0.013681917      0.013919142      0.013745041      0.000453392      0.014728291        1.076        208.8
131072              5      0.027642542      0.028124267      0.028024667      0.000619605      0.029179584        1.056        210.9
262144              5      0.063979166      0.065263400      0.065564167      0.000718278      0.065615916        1.026        244.1
524288              5      0.149808000      0.151553342      0.150687083      0.002120634      0.155199334        1.036        285.7
1048576             5      0.344980000      0.352747433      0.351172750      0.006660939      0.361771166        1.049        329.0
