# test_new_dict_unordered_map_float_float()
# RSS was 849,629,184 now 954,363,904 diff: +104,734,720
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000750      0.000258450      0.000000875      0.000575723      0.001288334     1717.899        375.0
4                   5      0.000001209      0.000001542      0.000001250      0.000000676      0.000002750        2.275        302.2
8                   5      0.000002208      0.000002600      0.000002292      0.000000694      0.000003833        1.736        276.0
16                  5      0.000004208      0.000006292      0.000004417      0.000004310      0.000014000        3.327        263.0
32                  5      0.000007583      0.000007983      0.000007667      0.000000689      0.000009209        1.214        237.0
64                  5      0.000014916      0.000015266      0.000015041      0.000000477      0.000016083        1.078        233.1
128                 5      0.000030625      0.000030917      0.000030709      0.000000386      0.000031542        1.030        239.3
256                 5      0.000061792      0.000062100      0.000062042      0.000000317      0.000062542        1.012        241.4
512                 5      0.000124333      0.000124817      0.000124542      0.000000698      0.000126000        1.013        242.8
1024                5      0.000250542      0.000252675      0.000250833      0.000003430      0.000258583        1.032        244.7
2048                5      0.000500416      0.000503675      0.000502541      0.000003667      0.000508500        1.016        244.3
4096                5      0.001003000      0.001010325      0.001005583      0.000012750      0.001033041        1.030        244.9
8192                5      0.002004208      0.002010266      0.002006291      0.000009191      0.002026417        1.011        244.7
16384               5      0.004011916      0.004017400      0.004017333      0.000005521      0.004025000        1.003        244.9
32768               5      0.007422292      0.007902725      0.008062500      0.000278841      0.008070084        1.087        226.5
65536               5      0.014907958      0.014942667      0.014930125      0.000034050      0.014997958        1.006        227.5
131072              5      0.030129792      0.030437592      0.030392541      0.000381272      0.031071959        1.031        229.9
262144              5      0.059908250      0.064056467      0.063393208      0.003556156      0.068225709        1.139        228.5
524288              5      0.124973875      0.132667567      0.133214833      0.007120419      0.141926084        1.136        238.4
1048576             5      0.281656041      0.295822791      0.287364417      0.016750630      0.319971375        1.136        268.6
