# test_new_dict_unordered_map_int_int()
# RSS was 351,039,488 now 336,568,320 diff: -14,471,168
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000775      0.000001906      0.000000852      0.000002353      0.000006112        7.886        387.5
4                   5      0.000001374      0.000001714      0.000001509      0.000000447      0.000002434        1.771        343.5
8                   5      0.000002530      0.000002750      0.000002653      0.000000245      0.000003123        1.234        316.3
16                  5      0.000004565      0.000004886      0.000004630      0.000000448      0.000005589        1.224        285.3
32                  5      0.000007810      0.000008339      0.000007934      0.000000818      0.000009755        1.249        244.1
64                  5      0.000014484      0.000014910      0.000014548      0.000000567      0.000015728        1.086        226.3
128                 5      0.000027305      0.000027933      0.000027535      0.000000707      0.000028882        1.058        213.3
256                 5      0.000052343      0.000052865      0.000052628      0.000000667      0.000053997        1.032        204.5
512                 5      0.000110068      0.000112322      0.000111045      0.000003619      0.000118722        1.079        215.0
1024                5      0.000224352      0.000233638      0.000227120      0.000017472      0.000264798        1.180        219.1
2048                5      0.000438903      0.000472647      0.000451158      0.000060165      0.000579691        1.321        214.3
4096                5      0.000858259      0.000941080      0.000904748      0.000118047      0.001146246        1.336        209.5
8192                5      0.001604641      0.001775008      0.001662387      0.000279452      0.002268265        1.414        195.9
16384               5      0.002785739      0.003058125      0.002853288      0.000495119      0.003942096        1.415        170.0
32768               5      0.005900056      0.006131193      0.006037445      0.000308143      0.006667220        1.130        180.1
65536               5      0.012244880      0.013505071      0.013435893      0.001155861      0.015199717        1.241        186.8
131072              5      0.025095652      0.026303626      0.025451025      0.001735273      0.029186318        1.163        191.5
262144              5      0.057920720      0.059689167      0.059639108      0.001238386      0.060928191        1.052        221.0
524288              5      0.127066109      0.129382602      0.130149675      0.001650509      0.130733469        1.029        242.4
1048576             5      0.268612181      0.274545038      0.273276770      0.004953708      0.280988130        1.046        256.2
