# RSS was 2,231,283,712 now 3,609,698,304 diff: +1,378,414,592
# test_new_dict_unordered_map_int_str16() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001042      0.000002817      0.000001125      0.000003783      0.000009583        9.197        521.0
4                   5      0.000001917      0.000002250      0.000002000      0.000000472      0.000003042        1.587        479.3
8                   5      0.000003708      0.000004159      0.000003834      0.000000714      0.000005417        1.461        463.5
16                  5      0.000007459      0.000008000      0.000007583      0.000000917      0.000009625        1.290        466.2
32                  5      0.000015209      0.000015675      0.000015250      0.000000620      0.000016375        1.077        475.3
64                  5      0.000030917      0.000031817      0.000031667      0.000000763      0.000033000        1.067        483.1
128                 5      0.000058875      0.000059108      0.000059083      0.000000237      0.000059458        1.010        460.0
256                 5      0.000116333      0.000117467      0.000116792      0.000001620      0.000120250        1.034        454.4
512                 5      0.000244375      0.000283358      0.000248500      0.000050754      0.000344875        1.411        477.3
1024                5      0.000484417      0.000488400      0.000486250      0.000005634      0.000498167        1.028        473.1
2048                5      0.000978084      0.001004617      0.000993958      0.000039057      0.001072375        1.096        477.6
4096                5      0.002218708      0.002278492      0.002223084      0.000098476      0.002447417        1.103        541.7
8192                5      0.004778917      0.004929617      0.005013834      0.000135113      0.005045250        1.056        583.4
16384               5      0.017755834      0.018670425      0.018925917      0.000523141      0.019003875        1.070       1083.7
32768               5      0.054382792      0.056628700      0.056098583      0.002126074      0.060143042        1.106       1659.6
65536               5      0.117372458      0.121028675      0.119590833      0.004622206      0.128986000        1.099       1791.0
131072              5      0.236286666      0.254343683      0.258632916      0.014655861      0.270027959        1.143       1802.7
262144              5      0.464804458      0.500455275      0.476891875      0.046574011      0.575574958        1.238       1773.1
524288              5      0.954636000      1.025209542      1.020395584      0.052617660      1.091730292        1.144       1820.8
1048576             5      3.027414917      3.727424359      3.829640459      0.585719483      4.551814042        1.504       2887.2
