# RSS was 1,034,833,920 now 1,707,352,064 diff: +672,518,144
# test_new_dict_unordered_map_int_str16() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000708      0.000003333      0.000000834      0.000005547      0.000013250       18.715        354.0
4                   5      0.000001250      0.000001467      0.000001375      0.000000350      0.000002083        1.666        312.5
8                   5      0.000002208      0.000002467      0.000002375      0.000000273      0.000002917        1.321        276.0
16                  5      0.000004167      0.000004675      0.000004209      0.000000999      0.000006458        1.550        260.4
32                  5      0.000007750      0.000008208      0.000007792      0.000000909      0.000009833        1.269        242.2
64                  5      0.000014583      0.000014841      0.000014833      0.000000267      0.000015250        1.046        227.9
128                 5      0.000028125      0.000028742      0.000028209      0.000001173      0.000030833        1.096        219.7
256                 5      0.000055541      0.000056475      0.000055792      0.000001618      0.000059333        1.068        217.0
512                 5      0.000115209      0.000116009      0.000115375      0.000001271      0.000118209        1.026        225.0
1024                5      0.000232834      0.000234109      0.000232917      0.000002575      0.000238709        1.025        227.4
2048                5      0.000471000      0.000474992      0.000473416      0.000004328      0.000480375        1.020        230.0
4096                5      0.000943041      0.000948275      0.000943417      0.000011052      0.000968041        1.027        230.2
8192                5      0.001890250      0.001901508      0.001892959      0.000017271      0.001931083        1.022        230.7
16384               5      0.003778417      0.003809283      0.003790500      0.000047446      0.003893375        1.030        230.6
32768               5      0.007635500      0.007691225      0.007719917      0.000047932      0.007735833        1.013        233.0
65536               5      0.015582417      0.015873242      0.015913208      0.000234642      0.016212833        1.040        237.8
131072              5      0.031832125      0.036078617      0.035553500      0.004293732      0.043143375        1.355        242.9
262144              5      0.073304208      0.079086067      0.078524500      0.004263859      0.085195209        1.162        279.6
524288              5      0.151917500      0.155855167      0.155048250      0.003528271      0.160463125        1.056        289.8
1048576             5      0.296574041      0.310930950      0.314384459      0.008124376      0.316361834        1.067        282.8
