# RSS was 403,800,064 now 1,474,650,112 diff: +1,070,850,048
# test_new_dict_unordered_map_int_str32() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000667      0.000006133      0.000000833      0.000011830      0.000027292       40.917        333.5
4                   5      0.000001208      0.000001592      0.000001250      0.000000723      0.000002875        2.380        302.0
8                   5      0.000002209      0.000003067      0.000002250      0.000001759      0.000006208        2.810        276.1
16                  5      0.000004166      0.000004850      0.000004209      0.000001481      0.000007500        1.800        260.4
32                  5      0.000007667      0.000063600      0.000007750      0.000124675      0.000286625       37.384        239.6
64                  5      0.000014625      0.000015692      0.000014709      0.000002065      0.000019375        1.325        228.5
128                 5      0.000028167      0.000030158      0.000028208      0.000004223      0.000037708        1.339        220.1
256                 5      0.000059916      0.000060716      0.000060125      0.000001299      0.000063000        1.051        234.0
512                 5      0.000122917      0.000124184      0.000123084      0.000001939      0.000127500        1.037        240.1
1024                5      0.000233333      0.000243642      0.000234292      0.000017835      0.000275000        1.179        227.9
2048                5      0.000469625      0.000475467      0.000470583      0.000011524      0.000496042        1.056        229.3
4096                5      0.000939833      0.000956133      0.000942833      0.000032396      0.001014000        1.079        229.5
8192                5      0.001886083      0.001938192      0.001896042      0.000088570      0.002093584        1.110        230.2
16384               5      0.003910708      0.004019725      0.003944667      0.000192890      0.004363583        1.116        238.7
32768               5      0.007687625      0.008312608      0.008053708      0.000702704      0.009182125        1.194        234.6
65536               5      0.017058625      0.017217392      0.017204166      0.000107590      0.017339958        1.016        260.3
131072              5      0.036066291      0.036641242      0.036315208      0.000981795      0.038385750        1.064        275.2
262144              5      0.080874708      0.083414250      0.082824416      0.002266679      0.087052125        1.076        308.5
524288              5      0.162733667      0.165487650      0.164184375      0.003304457      0.171115833        1.052        310.4
1048576             5      0.314763500      0.329455017      0.332882167      0.009322694      0.336830083        1.070        300.2
