# RSS was 1,294,241,792 now 3,428,593,664 diff: +2,134,351,872
# test_new_dict_unordered_map_int_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001083      0.000002650      0.000001209      0.000003341      0.000008625        7.964        541.5
4                   5      0.000001958      0.000002192      0.000002000      0.000000432      0.000002959        1.511        489.5
8                   5      0.000003708      0.000004025      0.000003750      0.000000617      0.000005125        1.382        463.5
16                  5      0.000007375      0.000007908      0.000007667      0.000000812      0.000009333        1.265        460.9
32                  5      0.000015208      0.000015392      0.000015334      0.000000171      0.000015666        1.030        475.3
64                  5      0.000028875      0.000029342      0.000029125      0.000000513      0.000030125        1.043        451.2
128                 5      0.000057375      0.000058900      0.000057583      0.000002766      0.000063792        1.112        448.2
256                 5      0.000113125      0.000113808      0.000113375      0.000000809      0.000115000        1.017        441.9
512                 5      0.000230791      0.000232441      0.000231458      0.000001961      0.000235000        1.018        450.8
1024                5      0.000456084      0.000498309      0.000458833      0.000090261      0.000659750        1.447        445.4
2048                5      0.000936125      0.001069675      0.000940458      0.000290670      0.001589625        1.698        457.1
4096                5      0.001928917      0.002012433      0.001996375      0.000093912      0.002153791        1.117        470.9
8192                5      0.004360875      0.004396992      0.004380125      0.000047622      0.004478667        1.027        532.3
16384               5      0.010241042      0.010734892      0.010777167      0.000480757      0.011246208        1.098        625.1
32768               5      0.035417416      0.035641675      0.035622833      0.000271915      0.036088000        1.019       1080.9
65536               5      0.079356375      0.081314017      0.080659167      0.002164264      0.085027875        1.071       1210.9
131072              5      0.178639792      0.180114067      0.178941333      0.002543759      0.184611958        1.033       1362.9
262144              5      0.339790750      0.365790158      0.371774000      0.017130353      0.384455708        1.131       1296.2
524288              5      0.678548291      0.717330433      0.709522042      0.036544449      0.771225125        1.137       1294.2
1048576             5      1.439701834      1.553335042      1.554782958      0.090199759      1.657319083        1.151       1373.0
