# RSS was 699,412,480 now 1,294,233,600 diff: +594,821,120
# test_new_dict_unordered_map_int_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000667      0.000092125      0.000000708      0.000204251      0.000457500      685.913        333.5
4                   5      0.000001166      0.000001350      0.000001250      0.000000275      0.000001834        1.573        291.5
8                   5      0.000002208      0.000002450      0.000002250      0.000000472      0.000003292        1.491        276.0
16                  5      0.000004208      0.000004733      0.000004292      0.000000906      0.000006333        1.505        263.0
32                  5      0.000007917      0.000008533      0.000007958      0.000001219      0.000010709        1.353        247.4
64                  5      0.000014958      0.000015366      0.000015042      0.000000755      0.000016708        1.117        233.7
128                 5      0.000029916      0.000034458      0.000034416      0.000003482      0.000038708        1.294        233.7
256                 5      0.000058916      0.000059691      0.000059125      0.000001332      0.000062041        1.053        230.1
512                 5      0.000121250      0.000166292      0.000121625      0.000099368      0.000344042        2.837        236.8
1024                5      0.000244709      0.000251033      0.000245542      0.000011509      0.000271500        1.109        239.0
2048                5      0.000490750      0.000542850      0.000491083      0.000113742      0.000746291        1.521        239.6
4096                5      0.000984334      0.001668017      0.001590959      0.000536749      0.002299166        2.336        240.3
8192                5      0.001963167      0.001979042      0.001977458      0.000018598      0.002010250        1.024        239.6
16384               5      0.003948916      0.004113033      0.003994458      0.000302903      0.004653584        1.178        241.0
32768               5      0.009136500      0.009290616      0.009181791      0.000180390      0.009545792        1.045        278.8
65536               5      0.019202833      0.019568392      0.019631208      0.000213180      0.019761500        1.029        293.0
131072              5      0.043201083      0.043510250      0.043272709      0.000363075      0.043955125        1.017        329.6
262144              5      0.088599458      0.095484850      0.094812708      0.004821689      0.101062958        1.141        338.0
524288              5      0.161948458      0.170264733      0.169522375      0.006511257      0.179979875        1.111        308.9
1048576             5      0.332322375      0.339984050      0.336452375      0.009335602      0.355962000        1.071        316.9
