# RSS was 214,429,696 now 840,966,144 diff: +626,536,448
# test_new_dict_unordered_map_int_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000625      0.000005700      0.000000709      0.000011000      0.000025375       40.605        312.5
4                   5      0.000001125      0.000001292      0.000001125      0.000000350      0.000001917        1.704        281.2
8                   5      0.000001959      0.000002517      0.000002042      0.000001087      0.000004458        2.276        244.9
16                  5      0.000003667      0.000004317      0.000003667      0.000001430      0.000006875        1.875        229.2
32                  5      0.000006708      0.000007833      0.000006833      0.000002239      0.000011833        1.764        209.6
64                  5      0.000012666      0.000013333      0.000012750      0.000001398      0.000015833        1.250        197.9
128                 5      0.000023750      0.000025125      0.000023917      0.000002705      0.000029959        1.261        185.5
256                 5      0.000046416      0.000048942      0.000046541      0.000005391      0.000058583        1.262        181.3
512                 5      0.000099875      0.000108358      0.000101292      0.000015548      0.000136042        1.362        195.1
1024                5      0.000206416      0.000219866      0.000208000      0.000024188      0.000262792        1.273        201.6
2048                5      0.000416750      0.000439183      0.000420833      0.000042354      0.000514709        1.235        203.5
4096                5      0.000837250      0.001096400      0.000839500      0.000476209      0.001934875        2.311        204.4
8192                5      0.001673000      0.001860858      0.001678208      0.000393999      0.002565041        1.533        204.2
16384               5      0.003357041      0.003564675      0.003364917      0.000398994      0.004273667        1.273        204.9
32768               5      0.006348500      0.006851000      0.006592917      0.000716057      0.008077083        1.272        193.7
65536               5      0.013469416      0.014356766      0.013882208      0.001355835      0.016762667        1.244        205.5
131072              5      0.027745125      0.030139542      0.028252541      0.003833005      0.036759458        1.325        211.7
262144              5      0.069473916      0.073354617      0.072865208      0.003786591      0.078452958        1.129        265.0
524288              5      0.136742417      0.143552425      0.139831709      0.009361747      0.159501958        1.166        260.8
1048576             5      0.276255625      0.297248942      0.290197708      0.024274351      0.336078750        1.217        263.5
