# RSS was 1,681,862,656 now 880,517,120 diff: -801,345,536
# test_new_dict_unordered_map_str_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002541      0.000004442      0.000002625      0.000003971      0.000011541        4.542       1270.5
4                   5      0.000005000      0.000005475      0.000005083      0.000000837      0.000006958        1.392       1250.0
8                   5      0.000009916      0.000010583      0.000010375      0.000000863      0.000012083        1.219       1239.5
16                  5      0.000020125      0.000021809      0.000020459      0.000003191      0.000027500        1.366       1257.8
32                  5      0.000040667      0.000044775      0.000041000      0.000008608      0.000060167        1.480       1270.8
64                  5      0.000105167      0.000106834      0.000105959      0.000002202      0.000110667        1.052       1643.2
128                 5      0.000161333      0.000163833      0.000162125      0.000003774      0.000170291        1.056       1260.4
256                 5      0.000322083      0.000332675      0.000322667      0.000014593      0.000353333        1.097       1258.1
512                 5      0.000649417      0.000666084      0.000654042      0.000026385      0.000712084        1.096       1268.4
1024                5      0.001329708      0.001404508      0.001344041      0.000113655      0.001596666        1.201       1298.5
2048                5      0.002781208      0.002820800      0.002817459      0.000031571      0.002869666        1.032       1358.0
4096                5      0.006696375      0.006819025      0.006848709      0.000070116      0.006863375        1.025       1634.9
8192                5      0.016642250      0.016826816      0.016858208      0.000104949      0.016895250        1.015       2031.5
16384               5      0.048407750      0.049826600      0.049369042      0.001719713      0.052792833        1.091       2954.6
32768               5      0.108934417      0.110507500      0.109214208      0.002463802      0.114776083        1.054       3324.4
65536               5      0.227740708      0.233385517      0.229518917      0.006717558      0.240809833        1.057       3475.0
131072              5      0.488029292      0.500622150      0.491302625      0.017650661      0.530531375        1.087       3723.4
262144              5      0.984276541      1.009931608      0.999066375      0.027423246      1.053690166        1.071       3754.7
524288              5      2.104924458      2.378231166      2.266015208      0.325701131      2.879928791        1.368       4014.8
1048576             5     10.831400791     12.046620175     12.199324500      1.100512298     13.627399375        1.258      10329.6
