# RSS was 1,010,925,568 now 1,681,842,176 diff: +670,916,608
# test_new_dict_unordered_map_str_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000958      0.000004325      0.000001167      0.000007203      0.000017208       17.963        479.0
4                   5      0.000001916      0.000002275      0.000001917      0.000000733      0.000003583        1.870        479.0
8                   5      0.000003750      0.000004233      0.000003833      0.000000920      0.000005875        1.567        468.7
16                  5      0.000007041      0.000007675      0.000007166      0.000001164      0.000009750        1.385        440.1
32                  5      0.000013917      0.000017825      0.000014167      0.000008252      0.000032584        2.341        434.9
64                  5      0.000032459      0.000034217      0.000033375      0.000001954      0.000037291        1.149        507.2
128                 5      0.000063875      0.000066825      0.000066792      0.000002856      0.000070916        1.110        499.0
256                 5      0.000128750      0.000131384      0.000130459      0.000002893      0.000136292        1.059        502.9
512                 5      0.000222708      0.000256992      0.000266209      0.000020341      0.000271834        1.221        435.0
1024                5      0.000442875      0.000449117      0.000448291      0.000006466      0.000459291        1.037        432.5
2048                5      0.000891792      0.000905517      0.000897333      0.000021576      0.000943875        1.058        435.4
4096                5      0.001794667      0.001815067      0.001809542      0.000021534      0.001851333        1.032        438.2
8192                5      0.003636667      0.003760533      0.003691875      0.000200977      0.004116833        1.132        443.9
16384               5      0.008439250      0.008758267      0.008812500      0.000180807      0.008876000        1.052        515.1
32768               5      0.019968958      0.020539200      0.020291916      0.000514529      0.021166333        1.060        609.4
65536               5      0.051161750      0.052255684      0.052713917      0.000818884      0.052970667        1.035        780.7
131072              5      0.107792417      0.111165042      0.109436541      0.003806921      0.117506833        1.090        822.4
262144              5      0.243947416      0.249748875      0.248274416      0.005422841      0.257231292        1.054        930.6
524288              5      0.551226833      0.565001383      0.552509959      0.017929688      0.585069333        1.061       1051.4
1048576             5      1.199451667      1.222950375      1.208206334      0.024672490      1.250831583        1.043       1143.9
