# RSS was 311,709,696 now 822,452,224 diff: +510,742,528
# test_new_dict_unordered_map_str_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000667      0.000002442      0.000000750      0.000003671      0.000009000       13.493        333.5
4                   5      0.000001166      0.000003625      0.000001209      0.000005404      0.000013292       11.400        291.5
8                   5      0.000002250      0.000003125      0.000002250      0.000001887      0.000006500        2.889        281.2
16                  5      0.000004291      0.000005200      0.000004333      0.000001871      0.000008541        1.990        268.2
32                  5      0.000008375      0.000009975      0.000008500      0.000003278      0.000015833        1.891        261.7
64                  5      0.000015958      0.000017308      0.000016167      0.000002607      0.000021958        1.376        249.3
128                 5      0.000031500      0.000032892      0.000031708      0.000002549      0.000037416        1.188        246.1
256                 5      0.000061459      0.000066675      0.000062458      0.000007995      0.000080292        1.306        240.1
512                 5      0.000125250      0.000132284      0.000125834      0.000011850      0.000152875        1.221        244.6
1024                5      0.000248458      0.000262558      0.000250000      0.000024502      0.000305625        1.230        242.6
2048                5      0.000500958      0.000526300      0.000503542      0.000049451      0.000614458        1.227        244.6
4096                5      0.001016292      0.001064383      0.001020875      0.000097305      0.001238292        1.218        248.1
8192                5      0.002048709      0.002158742      0.002055459      0.000207885      0.002528125        1.234        250.1
16384               5      0.004153167      0.004364658      0.004165416      0.000415330      0.005105042        1.229        253.5
32768               5      0.008535958      0.009003217      0.008557333      0.000818990      0.010438250        1.223        260.5
65536               5      0.017746333      0.018814908      0.017992125      0.001643149      0.021661208        1.221        270.8
131072              5      0.038965125      0.042086508      0.040800083      0.003963319      0.048681667        1.249        297.3
262144              5      0.104184000      0.106159758      0.105510709      0.002247730      0.109996958        1.056        397.4
524288              5      0.268879708      0.274799208      0.275293208      0.004103176      0.279756583        1.040        512.8
1048576             5      0.675346125      0.686889350      0.689147709      0.010265279      0.700276375        1.037        644.1
