#tests/unit/test_perf_cPyCppContainers.py::test_new_list_bool
#test_new_list_bool():
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000325      0.000284010      0.000000363      0.000633764      0.001417721     4362.218        162.5
4                   5      0.000000324      0.000000406      0.000000334      0.000000122      0.000000608        1.877         81.0
8                   5      0.000000363      0.000000408      0.000000375      0.000000081      0.000000552        1.521         45.4
16                  5      0.000000454      0.000000504      0.000000467      0.000000089      0.000000662        1.458         28.4
32                  5      0.000000593      0.000000652      0.000000636      0.000000058      0.000000742        1.251         18.5
64                  5      0.000000871      0.000000947      0.000000923      0.000000087      0.000001076        1.235         13.6
128                 5      0.000001552      0.000001888      0.000001700      0.000000558      0.000002875        1.852         12.1
256                 5      0.000002684      0.000002879      0.000002707      0.000000361      0.000003522        1.312         10.5
512                 5      0.000004974      0.000005200      0.000005010      0.000000433      0.000005973        1.201          9.7
1024                5      0.000009642      0.000009962      0.000009688      0.000000455      0.000010677        1.107          9.4
2048                5      0.000018866      0.000019609      0.000019380      0.000000725      0.000020806        1.103          9.2
4096                5      0.000037797      0.000038804      0.000038444      0.000000980      0.000040026        1.059          9.2
8192                5      0.000074247      0.000076662      0.000074369      0.000004822      0.000085260        1.148          9.1
16384               5      0.000148505      0.000195960      0.000167102      0.000057419      0.000289076        1.947          9.1
32768               5      0.000295102      0.000320559      0.000302021      0.000047274      0.000404951        1.372          9.0
65536               5      0.000589687      0.000625658      0.000599896      0.000065550      0.000742676        1.259          9.0
131072              5      0.001177593      0.001278247      0.001221567      0.000146595      0.001530008        1.299          9.0
262144              5      0.002262665      0.002805036      0.002733416      0.000565959      0.003724553        1.646          8.6
524288              5      0.005342940      0.005988033      0.005643039      0.000921249      0.007587159        1.420         10.2
1048576             5      0.010089141      0.010965945      0.010304788      0.001241567      0.013057896        1.294          9.6
