#tests/unit/test_perf_cPyCppContainers.py::test_new_list_bytes
#RSS was 38,801,408 now 55,656,448 diff: 16,855,040
#test_new_list_bytes() Byte length 16
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000335      0.000001237      0.000000365      0.000001888      0.000004612       13.767        167.5
4                   5      0.000000400      0.000000571      0.000000413      0.000000354      0.000001203        3.008        100.0
8                   5      0.000000553      0.000000683      0.000000573      0.000000240      0.000001110        2.007         69.1
16                  5      0.000000845      0.000000991      0.000000865      0.000000301      0.000001530        1.811         52.8
32                  5      0.000001448      0.000001696      0.000001468      0.000000491      0.000002572        1.776         45.2
64                  5      0.000002451      0.000002849      0.000002474      0.000000837      0.000004345        1.773         38.3
128                 5      0.000004567      0.000004830      0.000004655      0.000000441      0.000005615        1.229         35.7
256                 5      0.000008751      0.000009099      0.000008919      0.000000520      0.000010014        1.144         34.2
512                 5      0.000016643      0.000017481      0.000017355      0.000000862      0.000018932        1.138         32.5
1024                5      0.000033544      0.000034765      0.000034213      0.000001871      0.000038064        1.135         32.8
2048                5      0.000067112      0.000079956      0.000068806      0.000026325      0.000127030        1.893         32.8
4096                5      0.000133182      0.000144780      0.000136037      0.000021661      0.000183464        1.378         32.5
8192                5      0.000266133      0.000273987      0.000267605      0.000013182      0.000297193        1.117         32.5
16384               5      0.000532823      0.000607118      0.000539713      0.000150773      0.000876427        1.645         32.5
32768               5      0.001059713      0.001182972      0.001101827      0.000183261      0.001501579        1.417         32.3
65536               5      0.002472496      0.003031028      0.002652984      0.000956870      0.004735393        1.915         37.7
131072              5      0.007637464      0.007886776      0.007808792      0.000298584      0.008382241        1.098         58.3
262144              5      0.018088639      0.018622541      0.018314667      0.000887813      0.020191450        1.116         69.0
524288              5      0.039741487      0.040971769      0.040212359      0.001997736      0.044502549        1.120         75.8
1048576             5      0.083480250      0.086126601      0.085079652      0.003170368      0.091394856        1.095         79.6
