#tests/unit/test_perf_cPyCppContainers.py::test_new_list_complex
#test_new_list_complex()
#RSS was 39,743,488 now 90,951,680 diff: 51,208,192
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000549      0.000002106      0.000000624      0.000003237      0.000007893       14.377        274.5
4                   5      0.000000408      0.000000533      0.000000420      0.000000233      0.000000947        2.321        102.0
8                   5      0.000000506      0.000000635      0.000000511      0.000000245      0.000001070        2.115         63.3
16                  5      0.000000756      0.000000940      0.000000834      0.000000290      0.000001452        1.921         47.2
32                  5      0.000001222      0.000001336      0.000001254      0.000000191      0.000001673        1.369         38.2
64                  5      0.000002019      0.000002349      0.000002034      0.000000669      0.000003544        1.755         31.5
128                 5      0.000003837      0.000004153      0.000003886      0.000000620      0.000005260        1.371         30.0
256                 5      0.000007327      0.000007620      0.000007369      0.000000511      0.000008520        1.163         28.6
512                 5      0.000014032      0.000014340      0.000014138      0.000000544      0.000015307        1.091         27.4
1024                5      0.000034844      0.000037644      0.000037340      0.000001902      0.000039890        1.145         34.0
2048                5      0.000054840      0.000063176      0.000065366      0.000006620      0.000069385        1.265         26.8
4096                5      0.000108581      0.000127261      0.000111756      0.000029876      0.000179469        1.653         26.5
8192                5      0.000218666      0.000280808      0.000222907      0.000129682      0.000512635        2.344         26.7
16384               5      0.000439337      0.000521404      0.000477824      0.000119325      0.000732157        1.667         26.8
32768               5      0.000860725      0.000932853      0.000878783      0.000120092      0.001146177        1.332         26.3
65536               5      0.001961718      0.002158884      0.002065780      0.000195458      0.002409185        1.228         29.9
131072              5      0.003960577      0.004336715      0.004086722      0.000646087      0.005484825        1.385         30.2
262144              5      0.011595110      0.011989671      0.011684932      0.000703314      0.013236986        1.142         44.2
524288              5      0.025222035      0.026029751      0.025313533      0.001586789      0.028860359        1.144         48.1
1048576             5      0.052584425      0.054361089      0.053186543      0.002773205      0.059253021        1.127         50.1
