#tests/unit/test_perf_cPyCppContainers.py::test_new_list_float
#test_new_list_float()
#RSS was 46,596,096 now 94,375,936 diff: 47,779,840
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000304      0.000000847      0.000000320      0.000001159      0.000002919        9.602        152.0
4                   5      0.000000343      0.000000597      0.000000361      0.000000345      0.000001068        3.114         85.7
8                   5      0.000000445      0.000000569      0.000000451      0.000000255      0.000001024        2.301         55.6
16                  5      0.000000570      0.000000680      0.000000579      0.000000211      0.000001056        1.853         35.6
32                  5      0.000000884      0.000000995      0.000000925      0.000000181      0.000001318        1.491         27.6
64                  5      0.000001471      0.000001838      0.000001530      0.000000731      0.000003144        2.137         23.0
128                 5      0.000002841      0.000003320      0.000003044      0.000000742      0.000004635        1.631         22.2
256                 5      0.000005849      0.000006163      0.000005929      0.000000505      0.000007054        1.206         22.8
512                 5      0.000011761      0.000012007      0.000011860      0.000000365      0.000012653        1.076         23.0
1024                5      0.000023427      0.000023635      0.000023581      0.000000271      0.000024105        1.029         22.9
2048                5      0.000045847      0.000048735      0.000047190      0.000004701      0.000057072        1.245         22.4
4096                5      0.000093163      0.000096717      0.000093587      0.000006958      0.000109132        1.171         22.7
8192                5      0.000187370      0.000212826      0.000190298      0.000049404      0.000301022        1.607         22.9
16384               5      0.000380386      0.000423846      0.000388882      0.000063856      0.000530153        1.394         23.2
32768               5      0.000838594      0.000867414      0.000843630      0.000041830      0.000937244        1.118         25.6
65536               5      0.001658221      0.001874757      0.001786420      0.000281334      0.002357912        1.422         25.3
131072              5      0.003567162      0.004004978      0.003626907      0.000894109      0.005603499        1.571         27.2
262144              5      0.009189272      0.010151281      0.009414572      0.001729858      0.013238176        1.441         35.1
524288              5      0.022330737      0.022883144      0.022461834      0.000851708      0.024365344        1.091         42.6
1048576             5      0.048172577      0.049883271      0.048276743      0.003288339      0.055729016        1.157         45.9
