#tests/unit/test_perf_cPyCppContainers.py::test_new_list_int
#test_new_list_int():
#RSS was 67,313,664 now 90,112,000 diff: 22,798,336
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000282      0.000000780      0.000000306      0.000001019      0.000002600        9.220        141.0
4                   5      0.000000311      0.000000410      0.000000322      0.000000183      0.000000736        2.367         77.7
8                   5      0.000000381      0.000000475      0.000000389      0.000000180      0.000000795        2.087         47.6
16                  5      0.000000502      0.000000581      0.000000528      0.000000137      0.000000825        1.643         31.4
32                  5      0.000000778      0.000000871      0.000000797      0.000000146      0.000001123        1.443         24.3
64                  5      0.000001275      0.000001336      0.000001291      0.000000107      0.000001527        1.198         19.9
128                 5      0.000002240      0.000002477      0.000002253      0.000000440      0.000003255        1.453         17.5
256                 5      0.000004069      0.000004175      0.000004109      0.000000159      0.000004452        1.094         15.9
512                 5      0.000010630      0.000011012      0.000010708      0.000000652      0.000012165        1.144         20.8
1024                5      0.000023544      0.000024238      0.000023955      0.000001078      0.000026133        1.110         23.0
2048                5      0.000049331      0.000051017      0.000050660      0.000002110      0.000054647        1.108         24.1
4096                5      0.000101577      0.000103675      0.000102047      0.000003569      0.000110013        1.083         24.8
8192                5      0.000204607      0.000255631      0.000208833      0.000088938      0.000411497        2.011         25.0
16384               5      0.000432260      0.000473013      0.000466355      0.000042080      0.000538266        1.245         26.4
32768               5      0.001022730      0.001453509      0.001078090      0.000574115      0.002291242        2.240         31.2
65536               5      0.001828543      0.002330488      0.001994308      0.000797101      0.003742279        2.047         27.9
131072              5      0.004153514      0.005245538      0.004466748      0.001759186      0.008358429        2.012         31.7
262144              5      0.010661933      0.011398960      0.011169541      0.000764018      0.012682016        1.189         40.7
524288              5      0.025350674      0.025891498      0.025455333      0.000926835      0.027520680        1.086         48.4
1048576             5      0.052824651      0.054675892      0.053367141      0.002720418      0.059411206        1.125         50.4
