# test_new_list_list_bool()
# RSS was 147,185,664 now 290,648,064 diff: +143,462,400
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000375      0.000002933      0.000000500      0.000005398      0.000012583       33.557        187.5
4                   5      0.000000459      0.000000517      0.000000500      0.000000063      0.000000625        1.362        114.7
8                   5      0.000000708      0.000000767      0.000000750      0.000000063      0.000000875        1.236         88.5
16                  5      0.000001166      0.000001183      0.000001167      0.000000037      0.000001250        1.072         72.9
32                  5      0.000002041      0.000002325      0.000002084      0.000000541      0.000003292        1.613         63.8
64                  5      0.000003833      0.000003892      0.000003875      0.000000063      0.000004000        1.044         59.9
128                 5      0.000007500      0.000060242      0.000007542      0.000117678      0.000270750       36.100         58.6
256                 5      0.000014708      0.000015125      0.000014834      0.000000587      0.000016084        1.094         57.5
512                 5      0.000029541      0.000031000      0.000029583      0.000002259      0.000034709        1.175         57.7
1024                5      0.000059583      0.000060525      0.000059708      0.000001221      0.000062041        1.041         58.2
2048                5      0.000119167      0.000120875      0.000119375      0.000002478      0.000124916        1.048         58.2
4096                5      0.000239416      0.000242391      0.000239750      0.000005165      0.000251458        1.050         58.5
8192                5      0.000481666      0.000490867      0.000482666      0.000018999      0.000524834        1.090         58.8
16384               5      0.000958375      0.000976308      0.000959250      0.000038661      0.001045459        1.091         58.5
32768               5      0.001911667      0.001990692      0.001935542      0.000122820      0.002206542        1.154         58.3
65536               5      0.003897208      0.004004300      0.003995958      0.000133064      0.004226459        1.084         59.5
131072              5      0.007681667      0.007965125      0.007884833      0.000415036      0.008685167        1.131         58.6
262144              5      0.015405000      0.016186617      0.016218875      0.000815189      0.017465125        1.134         58.8
524288              5      0.034435958      0.034789316      0.034572125      0.000454903      0.035550541        1.032         65.7
1048576             5      0.065364459      0.069593742      0.069919791      0.003538271      0.073192791        1.120         62.3
