# RSS was 723,800,064 now 958,976,000 diff: +235,175,936
# test_new_list_list_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000791      0.000001817      0.000000834      0.000002176      0.000005708        7.216        395.5
4                   5      0.000001375      0.000001534      0.000001417      0.000000262      0.000002000        1.455        343.7
8                   5      0.000002584      0.000002783      0.000002625      0.000000334      0.000003375        1.306        323.0
16                  5      0.000005041      0.000005125      0.000005042      0.000000164      0.000005417        1.075        315.1
32                  5      0.000009875      0.000010000      0.000009916      0.000000234      0.000010416        1.055        308.6
64                  5      0.000020208      0.000020283      0.000020250      0.000000099      0.000020458        1.012        315.8
128                 5      0.000041292      0.000042533      0.000042833      0.000000773      0.000043125        1.044        322.6
256                 5      0.000084375      0.000085033      0.000084667      0.000000700      0.000086000        1.019        329.6
512                 5      0.000167500      0.000169617      0.000170125      0.000001184      0.000170208        1.016        327.1
1024                5      0.000340209      0.000342325      0.000340375      0.000002797      0.000345750        1.016        332.2
2048                5      0.000682209      0.000685275      0.000686875      0.000002613      0.000687667        1.008        333.1
4096                5      0.001424334      0.001503917      0.001449333      0.000135147      0.001744416        1.225        347.7
8192                5      0.002937042      0.002959392      0.002959750      0.000022476      0.002992000        1.019        358.5
16384               5      0.006740625      0.006786259      0.006768084      0.000057518      0.006882792        1.021        411.4
32768               5      0.016351166      0.016941058      0.016462416      0.000726222      0.017750625        1.086        499.0
65536               5      0.050256042      0.051467692      0.052066834      0.001065646      0.052488417        1.044        766.8
131072              5      0.123073625      0.125143917      0.124881667      0.001811765      0.127520875        1.036        939.0
262144              5      0.246928958      0.266505608      0.254572666      0.022796280      0.293131125        1.187        942.0
524288              5      0.537190125      0.542255875      0.541941958      0.003879670      0.548000583        1.020       1024.6
1048576             5      1.152742875      1.204935858      1.165245500      0.081044972      1.344800125        1.167       1099.3
RSS was 723,800,064 now 958,984,192 diff: +235,184,128
