# RSS was 723,800,064 now 1,643,831,296 diff: +920,031,232
# test_new_list_list_bytes() Byte length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000541      0.000003141      0.000000583      0.000005767      0.000013458       24.876        270.5
4                   5      0.000000833      0.000000850      0.000000834      0.000000023      0.000000875        1.050        208.2
8                   5      0.000001375      0.000001442      0.000001417      0.000000105      0.000001625        1.182        171.9
16                  5      0.000002542      0.000002659      0.000002542      0.000000217      0.000003042        1.197        158.9
32                  5      0.000004833      0.000004892      0.000004834      0.000000109      0.000005083        1.052        151.0
64                  5      0.000009333      0.000009592      0.000009375      0.000000508      0.000010500        1.125        145.8
128                 5      0.000018375      0.000018991      0.000018458      0.000001240      0.000021208        1.154        143.6
256                 5      0.000037375      0.000040400      0.000041000      0.000003010      0.000044292        1.185        146.0
512                 5      0.000076500      0.000076842      0.000076667      0.000000409      0.000077542        1.014        149.4
1024                5      0.000153709      0.000157500      0.000153917      0.000008060      0.000171916        1.118        150.1
2048                5      0.000306500      0.000314225      0.000308458      0.000014038      0.000339292        1.107        149.7
4096                5      0.000612916      0.000627958      0.000617583      0.000027091      0.000676292        1.103        149.6
8192                5      0.001230708      0.001262775      0.001241375      0.000054241      0.001359458        1.105        150.2
16384               5      0.002444834      0.002529792      0.002487084      0.000137791      0.002772458        1.134        149.2
32768               5      0.004911625      0.005152175      0.005138709      0.000301039      0.005652292        1.151        149.9
65536               5      0.012691292      0.012806992      0.012797125      0.000130712      0.013013833        1.025        193.7
131072              5      0.030060834      0.030343067      0.030457167      0.000227571      0.030536917        1.016        229.3
262144              5      0.057957167      0.063459342      0.065066542      0.003408175      0.066180458        1.142        221.1
524288              5      0.117463042      0.119138333      0.118837833      0.001726672      0.121909375        1.038        224.0
1048576             5      0.240938000      0.242589467      0.242451750      0.001707010      0.245340583        1.018        229.8
