# RSS was 140,603,392 now 133,885,952 diff: -6,717,440
# test_new_list_list_bytes() Byte length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000596      0.000001573      0.000000670      0.000002014      0.000005172        8.678        298.0
4                   5      0.000000998      0.000001050      0.000001012      0.000000095      0.000001219        1.221        249.5
8                   5      0.000001847      0.000002037      0.000001874      0.000000380      0.000002716        1.470        230.9
16                  5      0.000003390      0.000003720      0.000003458      0.000000592      0.000004776        1.409        211.9
32                  5      0.000006673      0.000007069      0.000006756      0.000000706      0.000008324        1.247        208.5
64                  5      0.000013663      0.000014209      0.000013863      0.000000865      0.000015737        1.152        213.5
128                 5      0.000028697      0.000029771      0.000028838      0.000002049      0.000033419        1.165        224.2
256                 5      0.000057978      0.000058905      0.000058051      0.000001853      0.000062211        1.073        226.5
512                 5      0.000116342      0.000117319      0.000116548      0.000001805      0.000120529        1.036        227.2
1024                5      0.000231132      0.000231572      0.000231375      0.000000597      0.000232618        1.006        225.7
2048                5      0.000462908      0.000472412      0.000463141      0.000019250      0.000506750        1.095        226.0
4096                5      0.000882495      0.000930665      0.000921390      0.000055083      0.001024368        1.161        215.5
8192                5      0.001750962      0.001933927      0.001879536      0.000167739      0.002202603        1.258        213.7
16384               5      0.004004083      0.004312087      0.004344878      0.000185810      0.004484977        1.120        244.4
32768               5      0.007475855      0.007973959      0.007701751      0.000565910      0.008870135        1.187        228.1
65536               5      0.016708653      0.018024761      0.017919389      0.000949054      0.019357737        1.159        255.0
131072              5      0.037528559      0.038574993      0.037982994      0.001424176      0.040982889        1.092        286.3
262144              5      0.069937323      0.071200458      0.070479496      0.001660022      0.073878837        1.056        266.8
524288              5      0.143467525      0.147114538      0.145781662      0.003388902      0.152377018        1.062        273.6
1048576             5      0.289584891      0.293032397      0.292196240      0.003213474      0.297449639        1.027        276.2
