# test_new_list_list_complex()
# RSS was 408,133,632 now 535,109,632 diff: +126,976,000
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000417      0.000001358      0.000000542      0.000001787      0.000004542       10.892        208.5
4                   5      0.000000583      0.000000650      0.000000625      0.000000104      0.000000833        1.429        145.8
8                   5      0.000000875      0.000000975      0.000000958      0.000000113      0.000001167        1.334        109.4
16                  5      0.000001541      0.000001575      0.000001542      0.000000075      0.000001709        1.109         96.3
32                  5      0.000002750      0.000002833      0.000002792      0.000000141      0.000003083        1.121         85.9
64                  5      0.000005250      0.000005275      0.000005250      0.000000056      0.000005375        1.024         82.0
128                 5      0.000010208      0.000010392      0.000010291      0.000000255      0.000010834        1.061         79.7
256                 5      0.000020209      0.000020358      0.000020333      0.000000163      0.000020625        1.021         78.9
512                 5      0.000040250      0.000040475      0.000040333      0.000000366      0.000041125        1.022         78.6
1024                5      0.000080417      0.000081208      0.000080542      0.000001408      0.000083708        1.041         78.5
2048                5      0.000161292      0.000161792      0.000161542      0.000000757      0.000163125        1.011         78.8
4096                5      0.000323333      0.000324283      0.000323375      0.000001692      0.000327250        1.012         78.9
8192                5      0.000646166      0.000648766      0.000646500      0.000004925      0.000657542        1.018         78.9
16384               5      0.001290834      0.001301900      0.001294834      0.000019749      0.001337083        1.036         78.8
32768               5      0.002595833      0.002614525      0.002604833      0.000030683      0.002668875        1.028         79.2
65536               5      0.005172209      0.005240033      0.005230291      0.000061208      0.005339042        1.032         78.9
131072              5      0.010672667      0.010920250      0.010796875      0.000361307      0.011547750        1.082         81.4
262144              5      0.021591209      0.022308209      0.022322000      0.000721654      0.023367708        1.082         82.4
524288              5      0.046533459      0.048369133      0.048475041      0.001341013      0.050240125        1.080         88.8
1048576             5      0.095259792      0.102808483      0.095526167      0.010550971      0.118123791        1.240         90.8
