# test_new_list_list_float()
# RSS was 366,723,072 now 458,829,824 diff: +92,106,752
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000416      0.000002683      0.000000500      0.000004769      0.000011208       26.942        208.0
4                   5      0.000000583      0.000000625      0.000000584      0.000000072      0.000000750        1.286        145.8
8                   5      0.000000833      0.000000891      0.000000875      0.000000047      0.000000958        1.150        104.1
16                  5      0.000001375      0.000001434      0.000001417      0.000000063      0.000001542        1.121         85.9
32                  5      0.000002500      0.000002558      0.000002500      0.000000130      0.000002791        1.116         78.1
64                  5      0.000004750      0.000004866      0.000004792      0.000000170      0.000005166        1.088         74.2
128                 5      0.000009625      0.000009892      0.000009667      0.000000441      0.000010667        1.108         75.2
256                 5      0.000019958      0.000020083      0.000020000      0.000000189      0.000020417        1.023         78.0
512                 5      0.000040666      0.000040825      0.000040750      0.000000162      0.000041083        1.010         79.4
1024                5      0.000082500      0.000083533      0.000082750      0.000001944      0.000087000        1.055         80.6
2048                5      0.000166208      0.000166675      0.000166542      0.000000487      0.000167500        1.008         81.2
4096                5      0.000336417      0.000336592      0.000336584      0.000000136      0.000336792        1.001         82.1
8192                5      0.000668792      0.000671025      0.000669125      0.000004075      0.000678250        1.014         81.6
16384               5      0.001335708      0.001345291      0.001338125      0.000017444      0.001376375        1.030         81.5
32768               5      0.002671916      0.002694025      0.002684000      0.000035181      0.002756125        1.032         81.5
65536               5      0.005388584      0.005459234      0.005435042      0.000075734      0.005567375        1.033         82.2
131072              5      0.010861708      0.011216091      0.011118708      0.000384826      0.011808958        1.087         82.9
262144              5      0.022233917      0.022803809      0.022609709      0.000492617      0.023485917        1.056         84.8
524288              5      0.046464375      0.047178225      0.047019459      0.000690848      0.048235292        1.038         88.6
1048576             5      0.096877083      0.099428592      0.098812459      0.002763990      0.103289000        1.066         92.4
