# test_new_list_list_int()
# RSS was 290,693,120 now 409,141,248 diff: +118,448,128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000416      0.000001191      0.000000542      0.000001398      0.000003666        8.812        208.0
4                   5      0.000000542      0.000000609      0.000000584      0.000000081      0.000000750        1.384        135.5
8                   5      0.000000833      0.000000875      0.000000834      0.000000072      0.000001000        1.200        104.1
16                  5      0.000001416      0.000001441      0.000001416      0.000000056      0.000001541        1.088         88.5
32                  5      0.000002583      0.000002650      0.000002625      0.000000105      0.000002834        1.097         80.7
64                  5      0.000004833      0.000004875      0.000004875      0.000000051      0.000004959        1.026         75.5
128                 5      0.000009458      0.000009625      0.000009500      0.000000260      0.000010083        1.066         73.9
256                 5      0.000018208      0.000018341      0.000018333      0.000000108      0.000018500        1.016         71.1
512                 5      0.000041125      0.000041675      0.000041167      0.000001138      0.000043708        1.063         80.3
1024                5      0.000087041      0.000088241      0.000087125      0.000002475      0.000092666        1.065         85.0
2048                5      0.000169916      0.000179625      0.000179041      0.000008448      0.000193125        1.137         83.0
4096                5      0.000322500      0.000336942      0.000332667      0.000016503      0.000365417        1.133         78.7
8192                5      0.000662625      0.000680258      0.000672083      0.000025939      0.000725666        1.095         80.9
16384               5      0.001311667      0.001350883      0.001325875      0.000066076      0.001468500        1.120         80.1
32768               5      0.002685792      0.002733408      0.002701167      0.000075576      0.002867250        1.068         82.0
65536               5      0.005265750      0.005447817      0.005425542      0.000207443      0.005771750        1.096         80.3
131072              5      0.011196583      0.011391308      0.011361542      0.000190615      0.011601000        1.036         85.4
262144              5      0.022647458      0.023436517      0.023493208      0.000704189      0.024435667        1.079         86.4
524288              5      0.048015250      0.048548267      0.048105833      0.001058310      0.050439875        1.050         91.6
1048576             5      0.092631666      0.093994841      0.093324083      0.001323371      0.095880291        1.035         88.3
