# RSS was 202,596,352 now 232,980,480 diff: 30,384,128
# test_new_list_list_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001280      0.000002749      0.000001580      0.000002682      0.000007524        5.878        640.0
4                   5      0.000002341      0.000002589      0.000002530      0.000000333      0.000003152        1.346        585.2
8                   5      0.000004396      0.000004644      0.000004626      0.000000266      0.000005029        1.144        549.5
16                  5      0.000008412      0.000008824      0.000008618      0.000000595      0.000009873        1.174        525.7
32                  5      0.000016601      0.000017171      0.000016768      0.000000894      0.000018745        1.129        518.8
64                  5      0.000038460      0.000039372      0.000039583      0.000000520      0.000039715        1.033        600.9
128                 5      0.000070383      0.000074370      0.000070676      0.000005421      0.000082009        1.165        549.9
256                 5      0.000142760      0.000148455      0.000148342      0.000004705      0.000155800        1.091        557.7
512                 5      0.000268111      0.000347274      0.000354576      0.000056969      0.000401383        1.497        523.7
1024                5      0.000541585      0.000579085      0.000547379      0.000048547      0.000641648        1.185        528.9
2048                5      0.001008080      0.001071704      0.001021047      0.000076843      0.001174255        1.165        492.2
4096                5      0.003298162      0.003631359      0.003355615      0.000425444      0.004228771        1.282        805.2
8192                5      0.007016858      0.008193710      0.008254890      0.000953909      0.009221930        1.314        856.6
16384               5      0.014879860      0.015956329      0.015093832      0.001318616      0.017785126        1.195        908.2
32768               5      0.038829485      0.045447410      0.045931261      0.006252354      0.053158983        1.369       1185.0
65536               5      0.108017330      0.111857507      0.110467486      0.003858572      0.116373161        1.077       1648.2
131072              5      0.244731908      0.256049573      0.255289774      0.008157375      0.265352176        1.084       1867.2
262144              5      0.519515981      0.533119132      0.534003204      0.008932115      0.542154062        1.044       1981.8
524288              5      1.090717273      1.130444631      1.118084578      0.041111097      1.195927545        1.096       2080.4
1048576             5      2.173396719      2.236429374      2.209520536      0.060210640      2.322026707        1.068       2072.7
RSS was 202,596,352 now 232,980,480 diff: 30,384,128
