# RSS was 1,006,612,480 now 1,032,744,960 diff: +26,132,480
# test_new_list_list_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000458      0.000001375      0.000000459      0.000002004      0.000004959       10.828        229.0
4                   5      0.000000666      0.000000700      0.000000708      0.000000035      0.000000750        1.126        166.5
8                   5      0.000001083      0.000001100      0.000001084      0.000000023      0.000001125        1.039        135.4
16                  5      0.000001875      0.000001925      0.000001875      0.000000090      0.000002083        1.111        117.2
32                  5      0.000003459      0.000003517      0.000003500      0.000000086      0.000003667        1.060        108.1
64                  5      0.000006625      0.000006658      0.000006625      0.000000054      0.000006750        1.019        103.5
128                 5      0.000013042      0.000013750      0.000013084      0.000001468      0.000016375        1.256        101.9
256                 5      0.000025750      0.000025942      0.000025792      0.000000315      0.000026500        1.029        100.6
512                 5      0.000052208      0.000052733      0.000052292      0.000000969      0.000054458        1.043        102.0
1024                5      0.000105000      0.000105325      0.000105125      0.000000441      0.000106083        1.010        102.5
2048                5      0.000209750      0.000210317      0.000210125      0.000000642      0.000211375        1.008        102.4
4096                5      0.000419375      0.000420275      0.000420250      0.000000880      0.000421708        1.006        102.4
8192                5      0.000838708      0.000842233      0.000842000      0.000003875      0.000848375        1.012        102.4
16384               5      0.001670958      0.001678408      0.001679709      0.000007369      0.001689125        1.011        102.0
32768               5      0.003342417      0.003362542      0.003370791      0.000015896      0.003376625        1.010        102.0
65536               5      0.006693959      0.006766467      0.006806542      0.000062273      0.006815750        1.018        102.1
131072              5      0.014200667      0.014480725      0.014636000      0.000248373      0.014689292        1.034        108.3
262144              5      0.031428291      0.031763450      0.031847708      0.000193345      0.031913083        1.015        119.9
524288              5      0.065702000      0.065915384      0.065944292      0.000126286      0.066016125        1.005        125.3
1048576             5      0.133123166      0.134954691      0.133904666      0.002822300      0.139958500        1.051        127.0
