# RSS was 933,830,656 now 1,055,567,872 diff: +121,737,216
# test_new_list_list_str() String length 2
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000458      0.000001716      0.000000541      0.000002540      0.000006250       13.646        229.0
4                   5      0.000000625      0.000000667      0.000000666      0.000000051      0.000000750        1.200        156.3
8                   5      0.000001041      0.000001067      0.000001042      0.000000037      0.000001125        1.081        130.1
16                  5      0.000001792      0.000001858      0.000001833      0.000000076      0.000001958        1.093        112.0
32                  5      0.000003292      0.000003383      0.000003334      0.000000115      0.000003583        1.088        102.9
64                  5      0.000006292      0.000006358      0.000006333      0.000000056      0.000006417        1.020         98.3
128                 5      0.000012333      0.000059758      0.000012375      0.000105743      0.000248916       20.183         96.4
256                 5      0.000024291      0.000024417      0.000024417      0.000000115      0.000024584        1.012         94.9
512                 5      0.000049333      0.000049883      0.000049541      0.000000909      0.000051500        1.044         96.4
1024                5      0.000099291      0.000099617      0.000099542      0.000000369      0.000100250        1.010         97.0
2048                5      0.000198084      0.000198692      0.000198250      0.000000862      0.000200166        1.011         96.7
4096                5      0.000396208      0.000396817      0.000396500      0.000000855      0.000398292        1.005         96.7
8192                5      0.000791208      0.000792108      0.000791708      0.000001194      0.000794208        1.004         96.6
16384               5      0.001578750      0.001585208      0.001585000      0.000006283      0.001594917        1.010         96.4
32768               5      0.003154666      0.003177008      0.003183792      0.000016853      0.003191416        1.012         96.3
65536               5      0.006314417      0.006404225      0.006424292      0.000092774      0.006538166        1.035         96.4
131072              5      0.012661875      0.013113842      0.013114750      0.000549006      0.014009083        1.106         96.6
262144              5      0.029689625      0.030331325      0.030430917      0.000592227      0.030950584        1.042        113.3
524288              5      0.061221666      0.062239100      0.062140000      0.000807144      0.063472167        1.037        116.8
1048576             5      0.121616459      0.125677042      0.122389958      0.006010606      0.135900125        1.117        116.0
