# tests/unit/test_perf_cPyCppContainers.py::test_new_list_str
# RSS was 270,393,344 now 194,854,912 diff: -75,538,432
#test_new_list_str() String length 2
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000383      0.000001129      0.000000448      0.000001529      0.000003861       10.081        191.5
4                   5      0.000000485      0.000000578      0.000000489      0.000000143      0.000000814        1.678        121.3
8                   5      0.000000676      0.000000752      0.000000702      0.000000127      0.000000978        1.447         84.5
16                  5      0.000001108      0.000001187      0.000001151      0.000000109      0.000001380        1.245         69.2
32                  5      0.000001876      0.000001998      0.000001900      0.000000218      0.000002387        1.272         58.6
64                  5      0.000003372      0.000172861      0.000004688      0.000232015      0.000449096      133.184         52.7
128                 5      0.000006428      0.000006708      0.000006439      0.000000489      0.000007561        1.176         50.2
256                 5      0.000012308      0.000012657      0.000012444      0.000000467      0.000013433        1.091         48.1
512                 5      0.000024041      0.000024511      0.000024242      0.000000502      0.000025208        1.049         47.0
1024                5      0.000047875      0.000048379      0.000048005      0.000000790      0.000049750        1.039         46.8
2048                5      0.000095805      0.000097008      0.000096346      0.000001833      0.000100241        1.046         46.8
4096                5      0.000190445      0.000192638      0.000191313      0.000003560      0.000198917        1.044         46.5
8192                5      0.000378256      0.000384101      0.000381489      0.000007971      0.000398151        1.053         46.2
16384               5      0.000751585      0.000997411      0.000815859      0.000456294      0.001811977        2.411         45.9
32768               5      0.001618947      0.001823171      0.001701206      0.000301579      0.002354906        1.455         49.4
65536               5      0.003422184      0.004921096      0.003469429      0.003219904      0.010680007        3.121         52.2
131072              5      0.009310579      0.009554481      0.009505246      0.000244675      0.009949463        1.069         71.0
262144              5      0.020968220      0.021598323      0.021367802      0.000575278      0.022404034        1.068         80.0
524288              5      0.044787390      0.046043994      0.045188251      0.001951246      0.049441448        1.104         85.4
1048576             5      0.093076787      0.095664475      0.094175082      0.003806873      0.102388213        1.100         88.8
