# test_new_list_vector_bool():
# RSS was 42,565,632 now 67,571,712 diff: 25,006,080
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000311      0.000000832      0.000000317      0.000001059      0.000002721        8.749        155.5
4                   5      0.000000328      0.000000362      0.000000337      0.000000060      0.000000468        1.427         82.0
8                   5      0.000000380      0.000000407      0.000000390      0.000000047      0.000000491        1.292         47.5
16                  5      0.000000472      0.000000512      0.000000481      0.000000071      0.000000638        1.352         29.5
32                  5      0.000000656      0.000000699      0.000000671      0.000000063      0.000000809        1.233         20.5
64                  5      0.000001023      0.000001069      0.000001050      0.000000052      0.000001155        1.129         16.0
128                 5      0.000001757      0.000001980      0.000001785      0.000000404      0.000002699        1.536         13.7
256                 5      0.000003121      0.000003235      0.000003161      0.000000196      0.000003583        1.148         12.2
512                 5      0.000005639      0.000005861      0.000005828      0.000000198      0.000006184        1.097         11.0
1024                5      0.000011254      0.000011457      0.000011308      0.000000334      0.000012046        1.070         11.0
2048                5      0.000021376      0.000022357      0.000022371      0.000000644      0.000023161        1.084         10.4
4096                5      0.000044132      0.000047200      0.000045002      0.000005393      0.000056824        1.288         10.8
8192                5      0.000085995      0.000087559      0.000086397      0.000002169      0.000091125        1.060         10.5
16384               5      0.000168252      0.000181009      0.000171396      0.000021745      0.000219612        1.305         10.3
32768               5      0.000335061      0.000393392      0.000373582      0.000074300      0.000521370        1.556         10.2
65536               5      0.000695104      0.000951061      0.000763951      0.000387761      0.001614876        2.323         10.6
131072              5      0.001381318      0.001506035      0.001405676      0.000154392      0.001681872        1.218         10.5
262144              5      0.002712525      0.003050663      0.002789003      0.000420101      0.003657134        1.348         10.3
524288              5      0.005858527      0.006312403      0.006033014      0.000599474      0.007292678        1.245         11.2
1048576             5      0.012063625      0.012793739      0.012307184      0.001167178      0.014865406        1.232         11.5
