# RSS was 179,716,096 now 179,384,320 diff: -331,776
# test_new_list_vector_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000750      0.000001933      0.000000833      0.000002484      0.000006375        8.500        375.0
4                   5      0.000001208      0.000001417      0.000001291      0.000000351      0.000002042        1.690        302.0
8                   5      0.000002250      0.000004125      0.000002292      0.000004076      0.000011416        5.074        281.3
16                  5      0.000004125      0.000005225      0.000004167      0.000002390      0.000009500        2.303        257.8
32                  5      0.000008125      0.000008725      0.000008209      0.000001158      0.000010792        1.328        253.9
64                  5      0.000019125      0.000020508      0.000020708      0.000000829      0.000021250        1.111        298.8
128                 5      0.000042666      0.000044891      0.000043625      0.000003631      0.000051333        1.203        333.3
256                 5      0.000070333      0.000070508      0.000070458      0.000000143      0.000070708        1.005        274.7
512                 5      0.000140583      0.000152500      0.000141333      0.000016598      0.000177333        1.261        274.6
1024                5      0.000279042      0.000293317      0.000279084      0.000031502      0.000349667        1.253        272.5
2048                5      0.000554167      0.000638492      0.000554792      0.000186834      0.000972708        1.755        270.6
4096                5      0.001199459      0.001572342      0.001225208      0.000491709      0.002182750        1.820        292.8
8192                5      0.002515416      0.002872392      0.002595334      0.000508815      0.003701709        1.472        307.1
16384               5      0.012083667      0.012203433      0.012134958      0.000188896      0.012534458        1.037        737.5
32768               5      0.028365125      0.029411517      0.029526791      0.000952054      0.030754834        1.084        865.6
65536               5      0.060538000      0.062246917      0.060817000      0.002930248      0.067418750        1.114        923.7
131072              5      0.128762208      0.137889067      0.135223000      0.009560706      0.154057791        1.196        982.4
262144              5      0.278367834      0.290854592      0.283621292      0.014847687      0.313209541        1.125       1061.9
524288              5      0.566434417      0.586517683      0.589995625      0.020366263      0.615614208        1.087       1080.4
1048576             5      1.185724125      1.444706016      1.418622541      0.230725420      1.785069083        1.505       1130.8
RSS was 179,716,096 now 180,256,768 diff: +540,672
