# RSS was 39,301,120 now 68,423,680 diff: 29,122,560
# test_new_list_vector_bytes() Byte length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000501      0.000017463      0.000000663      0.000037509      0.000084560      168.782        250.5
4                   5      0.000000771      0.000000893      0.000000844      0.000000140      0.000001098        1.424        192.7
8                   5      0.000001409      0.000006281      0.000001447      0.000010762      0.000025531       18.120        176.1
16                  5      0.000002329      0.000002422      0.000002348      0.000000163      0.000002711        1.164        145.6
32                  5      0.000004096      0.000006997      0.000004142      0.000006244      0.000018163        4.434        128.0
64                  5      0.000007821      0.000008134      0.000007905      0.000000550      0.000009113        1.165        122.2
128                 5      0.000015367      0.000015609      0.000015456      0.000000353      0.000016226        1.056        120.1
256                 5      0.000030572      0.000030816      0.000030634      0.000000453      0.000031623        1.034        119.4
512                 5      0.000060742      0.000061275      0.000060863      0.000000986      0.000063036        1.038        118.6
1024                5      0.000121060      0.000121813      0.000121125      0.000001515      0.000124520        1.029        118.2
2048                5      0.000242526      0.000254679      0.000243098      0.000026042      0.000301256        1.242        118.4
4096                5      0.000485376      0.000495960      0.000485631      0.000022972      0.000537051        1.106        118.5
8192                5      0.000971315      0.000980035      0.000972499      0.000016481      0.001009447        1.039        118.6
16384               5      0.001945320      0.002099403      0.001977902      0.000190776      0.002364926        1.216        118.7
32768               5      0.003988076      0.004374023      0.004349829      0.000407626      0.005048308        1.266        121.7
65536               5      0.007542368      0.008758213      0.008849084      0.000993467      0.010209228        1.354        115.1
131072              5      0.018462281      0.019020500      0.018640784      0.000627654      0.019843740        1.075        140.9
262144              5      0.041150202      0.041793368      0.041490119      0.000716202      0.042976941        1.044        157.0
524288              5      0.089714254      0.092045477      0.092067102      0.002406213      0.095563866        1.065        171.1
1048576             5      0.186007726      0.189928548      0.189076425      0.003355733      0.194637821        1.046        177.4
