# test_new_list_vector_complex()
# RSS was 140,402,688 now 221,818,880 diff: +81,416,192
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000375      0.000001642      0.000000583      0.000002398      0.000005917       15.779        187.5
4                   5      0.000000458      0.000001150      0.000000458      0.000001524      0.000003875        8.461        114.5
8                   5      0.000000542      0.000000658      0.000000625      0.000000130      0.000000875        1.614         67.7
16                  5      0.000000791      0.000001308      0.000000917      0.000000973      0.000003042        3.846         49.4
32                  5      0.000001333      0.000002375      0.000001375      0.000002237      0.000006375        4.782         41.7
64                  5      0.000002291      0.000002508      0.000002375      0.000000352      0.000003125        1.364         35.8
128                 5      0.000004250      0.000004617      0.000004459      0.000000428      0.000005333        1.255         33.2
256                 5      0.000008500      0.000008942      0.000009084      0.000000309      0.000009250        1.088         33.2
512                 5      0.000016875      0.000018083      0.000016958      0.000002586      0.000022708        1.346         33.0
1024                5      0.000029916      0.000032192      0.000030209      0.000004579      0.000040375        1.350         29.2
2048                5      0.000057959      0.000061608      0.000058875      0.000006640      0.000073458        1.267         28.3
4096                5      0.000114750      0.000144250      0.000117458      0.000052256      0.000236583        2.062         28.0
8192                5      0.000237750      0.000239734      0.000238375      0.000003330      0.000245667        1.033         29.0
16384               5      0.000474292      0.000491275      0.000476625      0.000030832      0.000545834        1.151         28.9
32768               5      0.000954291      0.001006608      0.000962959      0.000084560      0.001152500        1.208         29.1
65536               5      0.001783792      0.001825242      0.001801000      0.000049759      0.001901834        1.066         27.2
131072              5      0.003818625      0.003890100      0.003832417      0.000135554      0.004132209        1.082         29.1
262144              5      0.008230250      0.008275633      0.008257792      0.000041407      0.008332834        1.012         31.4
524288              5      0.020768208      0.024099650      0.023209625      0.003497316      0.029297167        1.411         39.6
1048576             5      0.040005958      0.046398967      0.041047917      0.008503212      0.058534292        1.463         38.2
